year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,85
2024,Attempted murder,18
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,49
2024,Burglary at residential premises,221
2024,Carjacking,32
2024,Commercial crime,356
2024,Common assault,218
2024,Common robbery,88
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,83
2024,Drug-related crime,40
2024,Illegal possession of firearms and ammunition,34
2024,Kidnapping,26
2024,Malicious damage to property,87
2024,Murder,4
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,16
2024,Robbery at residential premises,47
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,177
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,93
2024,Stock-theft,0
2024,Street Robbery,96
2024,TRIO crimes,95
2024,Theft of motor vehicle and motorcycle,122
2024,Theft out of or from motor vehicle,150
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,108
2023,Attempted murder,5
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,69
2023,Burglary at residential premises,258
2023,Carjacking,12
2023,Commercial crime,390
2023,Common assault,231
2023,Common robbery,102
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,90
2023,Drug-related crime,57
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,11
2023,Malicious damage to property,124
2023,Murder,0
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,17
2023,Robbery at non-residential premises,22
2023,Robbery at residential premises,30
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,179
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,6
2023,Shoplifting,81
2023,Stock-theft,0
2023,Street Robbery,115
2023,TRIO crimes,64
2023,Theft of motor vehicle and motorcycle,89
