year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,515
2024,Attempted murder,109
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,81
2024,Burglary at residential premises,286
2024,Carjacking,52
2024,Commercial crime,141
2024,Common assault,580
2024,Common robbery,152
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,190
2024,Drug-related crime,416
2024,Illegal possession of firearms and ammunition,43
2024,Kidnapping,49
2024,Malicious damage to property,345
2024,Murder,86
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,84
2024,Robbery at non-residential premises,42
2024,Robbery at residential premises,38
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,390
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,17
2024,Shoplifting,114
2024,Stock-theft,1
2024,Street Robbery,135
2024,TRIO crimes,132
2024,Theft of motor vehicle and motorcycle,83
2024,Theft out of or from motor vehicle,95
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,539
2023,Attempted murder,71
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,65
2023,Burglary at residential premises,309
2023,Carjacking,83
2023,Commercial crime,140
2023,Common assault,551
2023,Common robbery,135
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,138
2023,Drug-related crime,392
2023,Illegal possession of firearms and ammunition,43
2023,Kidnapping,67
2023,Malicious damage to property,364
2023,Murder,87
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,97
2023,Robbery at non-residential premises,40
2023,Robbery at residential premises,49
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,470
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,11
2023,Shoplifting,116
2023,Stock-theft,0
2023,Street Robbery,293
2023,TRIO crimes,172
2023,Theft of motor vehicle and motorcycle,119
2023,Theft out of or from motor vehicle,80
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,510
2022,Attempted murder,56
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,97
2022,Burglary at residential premises,266
2022,Carjacking,78
2022,Commercial crime,132
2022,Common assault,604
2022,Common robbery,139
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,97
2022,Drug-related crime,354
2022,Illegal possession of firearms and ammunition,27
2022,Kidnapping,26
2022,Malicious damage to property,358
2022,Murder,61
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,111
2022,Robbery at non-residential premises,23
2022,Robbery at residential premises,32
2022,Robbery of cash in transit,2
2022,Robbery with aggravating circumstances,417
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,51
2022,Stock-theft,2
2022,Street Robbery,279
2022,TRIO crimes,133
2022,Theft of motor vehicle and motorcycle,114
2022,Theft out of or from motor vehicle,115
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,3
