year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,24
2024,Attempted murder,8
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,61
2024,Burglary at residential premises,235
2024,Carjacking,16
2024,Commercial crime,222
2024,Common assault,66
2024,Common robbery,159
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,134
2024,Drug-related crime,21
2024,Illegal possession of firearms and ammunition,6
2024,Kidnapping,13
2024,Malicious damage to property,34
2024,Murder,1
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,7
2024,Robbery at non-residential premises,6
2024,Robbery at residential premises,49
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,166
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,9
2024,Stock-theft,0
2024,Street Robbery,71
2024,TRIO crimes,71
2024,Theft of motor vehicle and motorcycle,191
2024,Theft out of or from motor vehicle,238
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,29
2023,Attempted murder,3
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,53
2023,Burglary at residential premises,183
2023,Carjacking,6
2023,Commercial crime,206
2023,Common assault,61
2023,Common robbery,179
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,102
2023,Drug-related crime,20
2023,Illegal possession of firearms and ammunition,8
2023,Kidnapping,4
2023,Malicious damage to property,41
2023,Murder,3
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,6
2023,Robbery at non-residential premises,8
2023,Robbery at residential premises,35
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,118
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,9
2023,Shoplifting,5
2023,Stock-theft,0
2023,Street Robbery,69
2023,TRIO crimes,49
2023,Theft of motor vehicle and motorcycle,155
