year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,563
2024,Attempted murder,40
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,66
2024,Burglary at residential premises,518
2024,Carjacking,210
2024,Commercial crime,368
2024,Common assault,681
2024,Common robbery,176
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,231
2024,Drug-related crime,308
2024,Illegal possession of firearms and ammunition,23
2024,Kidnapping,179
2024,Malicious damage to property,365
2024,Murder,42
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,95
2024,Robbery at non-residential premises,46
2024,Robbery at residential premises,127
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,693
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,152
2024,Stock-theft,0
2024,Street Robbery,389
2024,TRIO crimes,383
2024,Theft of motor vehicle and motorcycle,104
2024,Theft out of or from motor vehicle,183
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,518
2023,Attempted murder,60
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,72
2023,Burglary at residential premises,528
2023,Carjacking,153
2023,Commercial crime,332
2023,Common assault,652
2023,Common robbery,143
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,63
2023,Drug-related crime,203
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,125
2023,Malicious damage to property,472
2023,Murder,57
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,72
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,68
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,478
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,16
2023,Shoplifting,104
2023,Stock-theft,0
2023,Street Robbery,223
2023,TRIO crimes,249
2023,Theft of motor vehicle and motorcycle,126
2023,Theft out of or from motor vehicle,203
2023,Truck hijacking,6
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,482
2022,Attempted murder,48
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,59
2022,Burglary at residential premises,515
2022,Carjacking,128
2022,Commercial crime,270
2022,Common assault,695
2022,Common robbery,168
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,58
2022,Drug-related crime,147
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,95
2022,Malicious damage to property,535
2022,Murder,43
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,88
2022,Robbery at non-residential premises,35
2022,Robbery at residential premises,67
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,443
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,19
2022,Shoplifting,112
2022,Stock-theft,0
2022,Street Robbery,211
2022,TRIO crimes,230
2022,Theft of motor vehicle and motorcycle,130
2022,Theft out of or from motor vehicle,196
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,409
2021,Attempted murder,40
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,83
2021,Burglary at residential premises,504
2021,Carjacking,80
2021,Commercial crime,313
2021,Common assault,562
2021,Common robbery,139
2021,Contact sexual offences,0
2021,Crimen Injuria,6
2021,Culpable homicide,11
2021,Driving under the influence of alcohol or drugs,52
2021,Drug-related crime,197
2021,Illegal possession of firearms and ammunition,18
2021,Kidnapping,34
2021,Malicious damage to property,367
2021,Murder,26
2021,Neglect and ill-treatment of children,16
2021,Public violence,3
2021,Rape,67
2021,Robbery at non-residential premises,38
2021,Robbery at residential premises,46
