year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,117
2024,Attempted murder,20
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,130
2024,Burglary at residential premises,234
2024,Carjacking,69
2024,Commercial crime,700
2024,Common assault,195
2024,Common robbery,303
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,378
2024,Drug-related crime,57
2024,Illegal possession of firearms and ammunition,13
2024,Kidnapping,110
2024,Malicious damage to property,113
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,30
2024,Robbery at non-residential premises,55
2024,Robbery at residential premises,48
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,438
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,8
2024,Shoplifting,115
2024,Stock-theft,0
2024,Street Robbery,184
2024,TRIO crimes,172
2024,Theft of motor vehicle and motorcycle,123
2024,Theft out of or from motor vehicle,400
2024,Truck hijacking,12
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,102
2023,Attempted murder,18
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,114
2023,Burglary at residential premises,244
2023,Carjacking,45
2023,Commercial crime,586
2023,Common assault,215
2023,Common robbery,257
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,243
2023,Drug-related crime,56
2023,Illegal possession of firearms and ammunition,4
2023,Kidnapping,62
2023,Malicious damage to property,131
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,35
2023,Robbery at non-residential premises,58
2023,Robbery at residential premises,42
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,351
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,7
2023,Shoplifting,107
2023,Stock-theft,0
2023,Street Robbery,193
2023,TRIO crimes,145
2023,Theft of motor vehicle and motorcycle,148
