year,category,value
2024,Abduction,0
2024,Arson,11
2024,Assault with the intent to inflict grievous bodily harm,684
2024,Attempted murder,122
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,166
2024,Burglary at residential premises,705
2024,Carjacking,117
2024,Commercial crime,731
2024,Common assault,858
2024,Common robbery,243
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,374
2024,Drug-related crime,328
2024,Illegal possession of firearms and ammunition,72
2024,Kidnapping,133
2024,Malicious damage to property,369
2024,Murder,152
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,135
2024,Robbery at non-residential premises,88
2024,Robbery at residential premises,232
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,871
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,21
2024,Shoplifting,309
2024,Stock-theft,6
2024,Street Robbery,442
2024,TRIO crimes,437
2024,Theft of motor vehicle and motorcycle,583
2024,Theft out of or from motor vehicle,476
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,12
2023,Assault with the intent to inflict grievous bodily harm,486
2023,Attempted murder,95
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,206
2023,Burglary at residential premises,630
2023,Carjacking,67
2023,Commercial crime,521
2023,Common assault,679
2023,Common robbery,186
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,254
2023,Drug-related crime,260
2023,Illegal possession of firearms and ammunition,53
2023,Kidnapping,78
2023,Malicious damage to property,290
2023,Murder,83
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,99
2023,Robbery at non-residential premises,78
2023,Robbery at residential premises,156
2023,Robbery of cash in transit,5
2023,Robbery with aggravating circumstances,585
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,34
2023,Shoplifting,268
2023,Stock-theft,0
2023,Street Robbery,274
2023,TRIO crimes,301
2023,Theft of motor vehicle and motorcycle,534
2023,Theft out of or from motor vehicle,421
2023,Truck hijacking,5
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,423
2022,Attempted murder,68
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,185
2022,Burglary at residential premises,555
2022,Carjacking,72
2022,Commercial crime,408
2022,Common assault,439
2022,Common robbery,140
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,173
2022,Drug-related crime,239
2022,Illegal possession of firearms and ammunition,32
2022,Kidnapping,70
2022,Malicious damage to property,229
2022,Murder,82
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,87
2022,Robbery at non-residential premises,66
2022,Robbery at residential premises,131
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,440
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,26
2022,Shoplifting,307
2022,Stock-theft,0
2022,Street Robbery,168
2022,TRIO crimes,269
2022,Theft of motor vehicle and motorcycle,501
2022,Theft out of or from motor vehicle,325
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,345
2021,Attempted murder,44
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,156
2021,Burglary at residential premises,449
2021,Carjacking,66
2021,Commercial crime,338
2021,Common assault,387
2021,Common robbery,128
2021,Contact sexual offences,3
2021,Crimen Injuria,9
2021,Culpable homicide,23
2021,Driving under the influence of alcohol or drugs,91
2021,Drug-related crime,185
2021,Illegal possession of firearms and ammunition,44
2021,Kidnapping,31
2021,Malicious damage to property,218
2021,Murder,72
2021,Neglect and ill-treatment of children,1
2021,Public violence,2
2021,Rape,74
2021,Robbery at non-residential premises,64
2021,Robbery at residential premises,116
2021,Robbery of cash in transit,6
2021,Robbery with aggravating circumstances,397
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,24
2021,Shoplifting,334
2021,Stock-theft,1
2021,Street Robbery,142
2021,TRIO crimes,246
2021,Theft of motor vehicle and motorcycle,469
2021,Theft out of or from motor vehicle,343
2021,Truck hijacking,3
2020,Abduction,0
2020,Arson,3
2020,Assault with the intent to inflict grievous bodily harm,377
2020,Attempted murder,74
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,182
2020,Burglary at residential premises,752
2020,Carjacking,87
2020,Commercial crime,309
2020,Common assault,472
2020,Common robbery,165
2020,Contact sexual offences,3
2020,Crimen Injuria,12
2020,Culpable homicide,32
2020,Driving under the influence of alcohol or drugs,730
2020,Drug-related crime,887
2020,Illegal possession of firearms and ammunition,44
2020,Kidnapping,38
2020,Malicious damage to property,223
2020,Murder,93
2020,Neglect and ill-treatment of children,2
2020,Public violence,4
2020,Rape,135
2020,Robbery at non-residential premises,83
2020,Robbery at residential premises,142
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,586
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,25
2020,Shoplifting,376
2020,Stock-theft,1
2020,Street Robbery,270
2020,TRIO crimes,312
2020,Theft of motor vehicle and motorcycle,454
2020,Theft out of or from motor vehicle,530
2020,Truck hijacking,3
2019,Abduction,0
2019,Arson,1
2019,Assault with the intent to inflict grievous bodily harm,386
2019,Attempted murder,52
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,162
2019,Burglary at residential premises,839
2019,Carjacking,92
2019,Commercial crime,285
2019,Common assault,487
2019,Common robbery,173
2019,Contact sexual offences,2
