year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,43
2024,Attempted murder,25
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,121
2024,Burglary at residential premises,416
2024,Carjacking,124
2024,Commercial crime,1620
2024,Common assault,441
2024,Common robbery,290
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,276
2024,Drug-related crime,95
2024,Illegal possession of firearms and ammunition,23
2024,Kidnapping,105
2024,Malicious damage to property,149
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,64
2024,Robbery at non-residential premises,23
2024,Robbery at residential premises,137
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,538
2024,Sexual Offences detected as a result of police action,6
2024,Sexual assault,14
2024,Shoplifting,395
2024,Stock-theft,0
2024,Street Robbery,293
2024,TRIO crimes,284
2024,Theft of motor vehicle and motorcycle,244
2024,Theft out of or from motor vehicle,517
2024,Truck hijacking,9
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,46
2023,Attempted murder,21
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,153
2023,Burglary at residential premises,333
2023,Carjacking,115
2023,Commercial crime,1321
2023,Common assault,389
2023,Common robbery,240
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,218
2023,Drug-related crime,140
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,61
2023,Malicious damage to property,128
2023,Murder,23
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,62
2023,Robbery at non-residential premises,42
2023,Robbery at residential premises,111
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,516
2023,Sexual Offences detected as a result of police action,17
2023,Sexual assault,20
2023,Shoplifting,284
2023,Stock-theft,0
2023,Street Robbery,236
2023,TRIO crimes,268
2023,Theft of motor vehicle and motorcycle,237
2023,Theft out of or from motor vehicle,355
