year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,333
2024,Attempted murder,34
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,42
2024,Burglary at residential premises,97
2024,Carjacking,85
2024,Commercial crime,129
2024,Common assault,174
2024,Common robbery,195
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,310
2024,Drug-related crime,26
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,39
2024,Malicious damage to property,125
2024,Murder,34
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,41
2024,Robbery at non-residential premises,56
2024,Robbery at residential premises,30
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,373
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,9
2024,Shoplifting,62
2024,Stock-theft,0
2024,Street Robbery,171
2024,TRIO crimes,171
2024,Theft of motor vehicle and motorcycle,89
2024,Theft out of or from motor vehicle,131
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,388
2023,Attempted murder,26
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,73
2023,Burglary at residential premises,133
2023,Carjacking,69
2023,Commercial crime,101
2023,Common assault,236
2023,Common robbery,236
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,274
2023,Drug-related crime,39
2023,Illegal possession of firearms and ammunition,3
2023,Kidnapping,35
2023,Malicious damage to property,125
2023,Murder,28
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,43
2023,Robbery at non-residential premises,66
2023,Robbery at residential premises,28
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,338
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,9
2023,Shoplifting,56
2023,Stock-theft,0
2023,Street Robbery,175
2023,TRIO crimes,163
2023,Theft of motor vehicle and motorcycle,123
2023,Theft out of or from motor vehicle,191
