year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,477
2024,Attempted murder,78
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,96
2024,Burglary at residential premises,583
2024,Carjacking,163
2024,Commercial crime,375
2024,Common assault,768
2024,Common robbery,184
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,61
2024,Drug-related crime,214
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,41
2024,Malicious damage to property,459
2024,Murder,67
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,142
2024,Robbery at non-residential premises,72
2024,Robbery at residential premises,138
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,914
2024,Sexual Offences detected as a result of police action,3
2024,Sexual assault,15
2024,Shoplifting,166
2024,Stock-theft,2
2024,Street Robbery,408
2024,TRIO crimes,373
2024,Theft of motor vehicle and motorcycle,255
2024,Theft out of or from motor vehicle,343
2024,Truck hijacking,34
2023,Abduction,0
2023,Arson,16
2023,Assault with the intent to inflict grievous bodily harm,496
2023,Attempted murder,75
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,67
2023,Burglary at residential premises,495
2023,Carjacking,184
2023,Commercial crime,285
2023,Common assault,625
2023,Common robbery,193
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,33
2023,Drug-related crime,122
2023,Illegal possession of firearms and ammunition,17
2023,Kidnapping,33
2023,Malicious damage to property,417
2023,Murder,50
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,97
2023,Robbery at non-residential premises,87
2023,Robbery at residential premises,143
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,989
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,177
2023,Stock-theft,16
2023,Street Robbery,535
2023,TRIO crimes,414
2023,Theft of motor vehicle and motorcycle,254
2023,Theft out of or from motor vehicle,389
2023,Truck hijacking,37
2022,Abduction,0
2022,Arson,17
2022,Assault with the intent to inflict grievous bodily harm,548
2022,Attempted murder,62
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,67
2022,Burglary at residential premises,522
2022,Carjacking,173
2022,Commercial crime,261
2022,Common assault,557
2022,Common robbery,192
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,81
2022,Drug-related crime,120
2022,Illegal possession of firearms and ammunition,42
2022,Kidnapping,25
2022,Malicious damage to property,426
2022,Murder,45
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,106
2022,Robbery at non-residential premises,107
2022,Robbery at residential premises,152
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,974
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,16
2022,Shoplifting,162
2022,Stock-theft,11
2022,Street Robbery,505
2022,TRIO crimes,432
2022,Theft of motor vehicle and motorcycle,302
2022,Theft out of or from motor vehicle,397
2022,Truck hijacking,37
2021,Abduction,0
2021,Arson,15
2021,Assault with the intent to inflict grievous bodily harm,429
2021,Attempted murder,64
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,107
2021,Burglary at residential premises,592
2021,Carjacking,138
2021,Commercial crime,205
2021,Common assault,503
2021,Common robbery,203
2021,Contact sexual offences,1
2021,Crimen Injuria,25
2021,Culpable homicide,28
2021,Driving under the influence of alcohol or drugs,35
2021,Drug-related crime,156
2021,Illegal possession of firearms and ammunition,20
2021,Kidnapping,19
2021,Malicious damage to property,388
2021,Murder,41
2021,Neglect and ill-treatment of children,2
2021,Public violence,2
2021,Rape,89
2021,Robbery at non-residential premises,77
2021,Robbery at residential premises,144
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,768
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,17
2021,Shoplifting,188
2021,Stock-theft,14
2021,Street Robbery,389
2021,TRIO crimes,359
2021,Theft of motor vehicle and motorcycle,272
2021,Theft out of or from motor vehicle,337
2021,Truck hijacking,20
2020,Abduction,0
2020,Arson,16
2020,Assault with the intent to inflict grievous bodily harm,457
2020,Attempted murder,51
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,116
2020,Burglary at residential premises,805
2020,Carjacking,127
2020,Commercial crime,259
2020,Common assault,467
2020,Common robbery,265
2020,Contact sexual offences,2
2020,Crimen Injuria,29
2020,Culpable homicide,54
2020,Driving under the influence of alcohol or drugs,81
2020,Drug-related crime,297
2020,Illegal possession of firearms and ammunition,20
2020,Kidnapping,16
2020,Malicious damage to property,448
2020,Murder,26
2020,Neglect and ill-treatment of children,5
2020,Public violence,8
2020,Rape,122
2020,Robbery at non-residential premises,85
2020,Robbery at residential premises,103
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,749
2020,Sexual Offences detected as a result of police action,5
2020,Sexual assault,22
2020,Shoplifting,206
2020,Stock-theft,17
2020,Street Robbery,420
2020,TRIO crimes,315
2020,Theft of motor vehicle and motorcycle,376
2020,Theft out of or from motor vehicle,459
2020,Truck hijacking,13
2019,Abduction,2
2019,Arson,15
2019,Assault with the intent to inflict grievous bodily harm,473
2019,Attempted murder,55
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,184
2019,Burglary at residential premises,861
2019,Carjacking,129
2019,Commercial crime,606
2019,Common assault,474
2019,Common robbery,241
2019,Contact sexual offences,5
2019,Crimen Injuria,24
2019,Culpable homicide,40
2019,Driving under the influence of alcohol or drugs,100
2019,Drug-related crime,192
2019,Illegal possession of firearms and ammunition,10
2019,Kidnapping,16
2019,Malicious damage to property,412
2019,Murder,42
2019,Neglect and ill-treatment of children,5
2019,Public violence,7
2019,Rape,123
2019,Robbery at non-residential premises,99
2019,Robbery at residential premises,141
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,714
