year,category,value
2024,Abduction,0
2024,Arson,10
2024,Assault with the intent to inflict grievous bodily harm,401
2024,Attempted murder,68
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,102
2024,Burglary at residential premises,226
2024,Carjacking,127
2024,Commercial crime,169
2024,Common assault,458
2024,Common robbery,94
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,142
2024,Drug-related crime,631
2024,Illegal possession of firearms and ammunition,70
2024,Kidnapping,71
2024,Malicious damage to property,211
2024,Murder,74
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,117
2024,Robbery at non-residential premises,58
2024,Robbery at residential premises,44
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,459
2024,Sexual Offences detected as a result of police action,13
2024,Sexual assault,13
2024,Shoplifting,215
2024,Stock-theft,3
2024,Street Robbery,231
2024,TRIO crimes,229
2024,Theft of motor vehicle and motorcycle,105
2024,Theft out of or from motor vehicle,170
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,7
2023,Assault with the intent to inflict grievous bodily harm,334
2023,Attempted murder,67
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,95
2023,Burglary at residential premises,181
2023,Carjacking,115
2023,Commercial crime,135
2023,Common assault,387
2023,Common robbery,79
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,104
2023,Drug-related crime,553
2023,Illegal possession of firearms and ammunition,48
2023,Kidnapping,37
2023,Malicious damage to property,177
2023,Murder,75
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,114
2023,Robbery at non-residential premises,56
2023,Robbery at residential premises,46
2023,Robbery of cash in transit,2
2023,Robbery with aggravating circumstances,405
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,19
2023,Shoplifting,148
2023,Stock-theft,1
2023,Street Robbery,185
2023,TRIO crimes,217
2023,Theft of motor vehicle and motorcycle,103
2023,Theft out of or from motor vehicle,149
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,256
2022,Attempted murder,54
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,67
2022,Burglary at residential premises,159
2022,Carjacking,109
2022,Commercial crime,117
2022,Common assault,383
2022,Common robbery,76
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,176
2022,Drug-related crime,473
2022,Illegal possession of firearms and ammunition,48
2022,Kidnapping,32
2022,Malicious damage to property,176
2022,Murder,122
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,116
2022,Robbery at non-residential premises,48
2022,Robbery at residential premises,69
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,384
2022,Sexual Offences detected as a result of police action,2
2022,Sexual assault,9
2022,Shoplifting,103
2022,Stock-theft,1
2022,Street Robbery,156
2022,TRIO crimes,226
2022,Theft of motor vehicle and motorcycle,109
2022,Theft out of or from motor vehicle,113
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,244
2021,Attempted murder,58
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,115
2021,Burglary at residential premises,160
2021,Carjacking,119
2021,Commercial crime,74
2021,Common assault,250
2021,Common robbery,60
2021,Contact sexual offences,0
2021,Crimen Injuria,0
2021,Culpable homicide,6
2021,Driving under the influence of alcohol or drugs,136
2021,Drug-related crime,593
2021,Illegal possession of firearms and ammunition,96
2021,Kidnapping,3
2021,Malicious damage to property,169
2021,Murder,82
2021,Neglect and ill-treatment of children,3
2021,Public violence,1
2021,Rape,82
2021,Robbery at non-residential premises,78
2021,Robbery at residential premises,60
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,418
2021,Sexual Offences detected as a result of police action,4
2021,Sexual assault,12
2021,Shoplifting,163
2021,Stock-theft,0
2021,Street Robbery,159
2021,TRIO crimes,257
2021,Theft of motor vehicle and motorcycle,45
2021,Theft out of or from motor vehicle,90
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,297
2020,Attempted murder,41
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,93
2020,Burglary at residential premises,313
2020,Carjacking,82
2020,Commercial crime,82
2020,Common assault,322
2020,Common robbery,98
2020,Contact sexual offences,0
2020,Crimen Injuria,3
2020,Culpable homicide,8
2020,Driving under the influence of alcohol or drugs,231
2020,Drug-related crime,1309
2020,Illegal possession of firearms and ammunition,96
2020,Kidnapping,5
2020,Malicious damage to property,193
2020,Murder,48
2020,Neglect and ill-treatment of children,3
2020,Public violence,6
2020,Rape,114
2020,Robbery at non-residential premises,47
2020,Robbery at residential premises,45
2020,Robbery of cash in transit,1
2020,Robbery with aggravating circumstances,378
2020,Sexual Offences detected as a result of police action,3
2020,Sexual assault,12
2020,Shoplifting,166
2020,Stock-theft,0
2020,Street Robbery,202
2020,TRIO crimes,174
2020,Theft of motor vehicle and motorcycle,106
2020,Theft out of or from motor vehicle,131
2020,Truck hijacking,1
2019,Abduction,1
2019,Arson,9
2019,Assault with the intent to inflict grievous bodily harm,372
2019,Attempted murder,77
2019,Attempted sexual offences,0
2019,Bank robbery,0
2019,Burglary at non-residential premises,99
2019,Burglary at residential premises,389
2019,Carjacking,98
2019,Commercial crime,99
2019,Common assault,405
2019,Common robbery,130
2019,Contact sexual offences,3
2019,Crimen Injuria,8
2019,Culpable homicide,10
2019,Driving under the influence of alcohol or drugs,189
2019,Drug-related crime,1150
2019,Illegal possession of firearms and ammunition,45
2019,Kidnapping,9
2019,Malicious damage to property,250
2019,Murder,58
2019,Neglect and ill-treatment of children,1
2019,Public violence,6
2019,Rape,112
2019,Robbery at non-residential premises,37
2019,Robbery at residential premises,61
2019,Robbery of cash in transit,2
2019,Robbery with aggravating circumstances,433
