year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,35
2024,Attempted murder,8
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,220
2024,Burglary at residential premises,413
2024,Carjacking,20
2024,Commercial crime,1022
2024,Common assault,316
2024,Common robbery,619
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,172
2024,Drug-related crime,99
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,22
2024,Malicious damage to property,169
2024,Murder,5
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,39
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,53
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,409
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,15
2024,Shoplifting,254
2024,Stock-theft,0
2024,Street Robbery,101
2024,TRIO crimes,97
2024,Theft of motor vehicle and motorcycle,848
2024,Theft out of or from motor vehicle,658
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,45
2023,Attempted murder,8
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,222
2023,Burglary at residential premises,530
2023,Carjacking,25
2023,Commercial crime,934
2023,Common assault,308
2023,Common robbery,592
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,112
2023,Drug-related crime,87
2023,Illegal possession of firearms and ammunition,4
2023,Kidnapping,33
2023,Malicious damage to property,182
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,46
2023,Robbery at non-residential premises,25
2023,Robbery at residential premises,134
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,549
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,13
2023,Shoplifting,272
2023,Stock-theft,0
2023,Street Robbery,361
2023,TRIO crimes,184
2023,Theft of motor vehicle and motorcycle,780
2023,Theft out of or from motor vehicle,513
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,30
2022,Attempted murder,15
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,180
2022,Burglary at residential premises,511
2022,Carjacking,28
2022,Commercial crime,847
2022,Common assault,238
2022,Common robbery,377
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,104
2022,Drug-related crime,62
2022,Illegal possession of firearms and ammunition,4
2022,Kidnapping,14
2022,Malicious damage to property,149
2022,Murder,2
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,32
2022,Robbery at non-residential premises,38
2022,Robbery at residential premises,90
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,405
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,12
2022,Shoplifting,303
2022,Stock-theft,0
2022,Street Robbery,242
2022,TRIO crimes,156
2022,Theft of motor vehicle and motorcycle,960
2022,Theft out of or from motor vehicle,709
2022,Truck hijacking,7
2021,Abduction,0
2021,Arson,2
