year,category,value
2024,Abduction,0
2024,Arson,13
2024,Assault with the intent to inflict grievous bodily harm,307
2024,Attempted murder,50
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,77
2024,Burglary at residential premises,203
2024,Carjacking,22
2024,Commercial crime,170
2024,Common assault,393
2024,Common robbery,103
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,93
2024,Drug-related crime,219
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,19
2024,Malicious damage to property,206
2024,Murder,13
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,52
2024,Robbery at non-residential premises,37
2024,Robbery at residential premises,29
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,306
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,10
2024,Shoplifting,201
2024,Stock-theft,32
2024,Street Robbery,112
2024,TRIO crimes,88
2024,Theft of motor vehicle and motorcycle,50
2024,Theft out of or from motor vehicle,75
2024,Truck hijacking,22
2023,Abduction,0
2023,Arson,8
2023,Assault with the intent to inflict grievous bodily harm,264
2023,Attempted murder,23
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,63
2023,Burglary at residential premises,244
2023,Carjacking,20
2023,Commercial crime,153
2023,Common assault,325
2023,Common robbery,91
2023,Contact sexual offences,5
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,63
2023,Drug-related crime,264
2023,Illegal possession of firearms and ammunition,5
2023,Kidnapping,23
2023,Malicious damage to property,204
2023,Murder,11
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,38
2023,Robbery at non-residential premises,25
2023,Robbery at residential premises,39
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,219
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,10
2023,Shoplifting,177
2023,Stock-theft,47
2023,Street Robbery,124
2023,TRIO crimes,84
2023,Theft of motor vehicle and motorcycle,35
2023,Theft out of or from motor vehicle,65
2023,Truck hijacking,11
2022,Abduction,0
2022,Arson,11
2022,Assault with the intent to inflict grievous bodily harm,250
2022,Attempted murder,19
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,76
2022,Burglary at residential premises,222
2022,Carjacking,9
2022,Commercial crime,136
2022,Common assault,240
2022,Common robbery,63
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
