year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,79
2024,Attempted murder,10
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,14
2024,Burglary at residential premises,88
2024,Carjacking,15
2024,Commercial crime,72
2024,Common assault,83
2024,Common robbery,18
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,20
2024,Drug-related crime,53
2024,Illegal possession of firearms and ammunition,6
2024,Kidnapping,5
2024,Malicious damage to property,46
2024,Murder,15
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,17
2024,Robbery at non-residential premises,14
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,107
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,1
2024,Shoplifting,4
2024,Stock-theft,0
2024,Street Robbery,50
2024,TRIO crimes,50
2024,Theft of motor vehicle and motorcycle,17
2024,Theft out of or from motor vehicle,40
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,72
2023,Attempted murder,15
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,24
2023,Burglary at residential premises,81
2023,Carjacking,20
2023,Commercial crime,41
2023,Common assault,115
2023,Common robbery,17
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,16
2023,Drug-related crime,78
2023,Illegal possession of firearms and ammunition,13
2023,Kidnapping,2
2023,Malicious damage to property,57
2023,Murder,22
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,17
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,36
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,125
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,0
2023,Shoplifting,2
2023,Stock-theft,0
2023,Street Robbery,49
2023,TRIO crimes,74
2023,Theft of motor vehicle and motorcycle,16
2023,Theft out of or from motor vehicle,30
2023,Truck hijacking,1
2022,Abduction,0
2022,Arson,0
2022,Assault with the intent to inflict grievous bodily harm,93
2022,Attempted murder,30
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,29
2022,Burglary at residential premises,61
2022,Carjacking,11
2022,Commercial crime,53
2022,Common assault,125
2022,Common robbery,16
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,35
2022,Drug-related crime,65
2022,Illegal possession of firearms and ammunition,8
2022,Kidnapping,3
2022,Malicious damage to property,57
2022,Murder,13
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,21
2022,Robbery at non-residential premises,16
2022,Robbery at residential premises,17
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,82
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,7
2022,Shoplifting,1
2022,Stock-theft,0
2022,Street Robbery,38
2022,TRIO crimes,44
2022,Theft of motor vehicle and motorcycle,13
2022,Theft out of or from motor vehicle,53
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
