year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,596
2024,Attempted murder,125
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,70
2024,Burglary at residential premises,208
2024,Carjacking,202
2024,Commercial crime,68
2024,Common assault,455
2024,Common robbery,125
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,49
2024,Drug-related crime,112
2024,Illegal possession of firearms and ammunition,40
2024,Kidnapping,151
2024,Malicious damage to property,248
2024,Murder,44
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,110
2024,Robbery at non-residential premises,37
2024,Robbery at residential premises,93
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,1220
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,9
2024,Shoplifting,222
2024,Stock-theft,9
2024,Street Robbery,340
2024,TRIO crimes,332
2024,Theft of motor vehicle and motorcycle,30
2024,Theft out of or from motor vehicle,36
2024,Truck hijacking,8
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,521
2023,Attempted murder,73
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,71
2023,Burglary at residential premises,164
2023,Carjacking,136
2023,Commercial crime,52
2023,Common assault,351
2023,Common robbery,98
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,8
2023,Drug-related crime,210
2023,Illegal possession of firearms and ammunition,38
2023,Kidnapping,63
2023,Malicious damage to property,204
2023,Murder,50
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,110
2023,Robbery at non-residential premises,25
2023,Robbery at residential premises,66
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,1002
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,11
2023,Shoplifting,208
2023,Stock-theft,12
2023,Street Robbery,769
2023,TRIO crimes,227
2023,Theft of motor vehicle and motorcycle,42
2023,Theft out of or from motor vehicle,52
2023,Truck hijacking,6
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,496
2022,Attempted murder,52
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,74
2022,Burglary at residential premises,175
2022,Carjacking,132
2022,Commercial crime,55
2022,Common assault,346
2022,Common robbery,114
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,18
2022,Drug-related crime,211
2022,Illegal possession of firearms and ammunition,36
2022,Kidnapping,25
2022,Malicious damage to property,188
2022,Murder,45
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,158
2022,Robbery at non-residential premises,45
2022,Robbery at residential premises,89
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,820
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,19
2022,Shoplifting,231
2022,Stock-theft,8
2022,Street Robbery,550
2022,TRIO crimes,266
2022,Theft of motor vehicle and motorcycle,34
2022,Theft out of or from motor vehicle,41
2022,Truck hijacking,4
2021,Abduction,0
2021,Arson,2
