year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,47
2024,Attempted murder,11
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,252
2024,Burglary at residential premises,478
2024,Carjacking,55
2024,Commercial crime,1474
2024,Common assault,285
2024,Common robbery,73
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,110
2024,Drug-related crime,203
2024,Illegal possession of firearms and ammunition,32
2024,Kidnapping,19
2024,Malicious damage to property,127
2024,Murder,7
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,22
2024,Robbery at non-residential premises,33
2024,Robbery at residential premises,47
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,339
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,15
2024,Shoplifting,218
2024,Stock-theft,4
2024,Street Robbery,147
2024,TRIO crimes,135
2024,Theft of motor vehicle and motorcycle,382
2024,Theft out of or from motor vehicle,489
2024,Truck hijacking,12
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,68
2023,Attempted murder,15
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,297
2023,Burglary at residential premises,568
2023,Carjacking,54
2023,Commercial crime,1197
2023,Common assault,302
2023,Common robbery,105
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,84
2023,Drug-related crime,127
2023,Illegal possession of firearms and ammunition,35
2023,Kidnapping,26
2023,Malicious damage to property,158
2023,Murder,9
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,26
2023,Robbery at non-residential premises,41
2023,Robbery at residential premises,42
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,341
2023,Sexual Offences detected as a result of police action,5
2023,Sexual assault,22
2023,Shoplifting,186
2023,Stock-theft,0
2023,Street Robbery,177
2023,TRIO crimes,137
2023,Theft of motor vehicle and motorcycle,314
