year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,332
2024,Attempted murder,57
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,67
2024,Burglary at residential premises,372
2024,Carjacking,127
2024,Commercial crime,203
2024,Common assault,602
2024,Common robbery,97
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,38
2024,Drug-related crime,340
2024,Illegal possession of firearms and ammunition,45
2024,Kidnapping,80
2024,Malicious damage to property,232
2024,Murder,32
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,68
2024,Robbery at non-residential premises,48
2024,Robbery at residential premises,61
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,527
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,15
2024,Shoplifting,87
2024,Stock-theft,1
2024,Street Robbery,239
2024,TRIO crimes,236
2024,Theft of motor vehicle and motorcycle,22
2024,Theft out of or from motor vehicle,116
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,288
2023,Attempted murder,53
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,77
2023,Burglary at residential premises,349
2023,Carjacking,182
2023,Commercial crime,131
2023,Common assault,516
2023,Common robbery,89
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,91
2023,Drug-related crime,386
2023,Illegal possession of firearms and ammunition,31
2023,Kidnapping,114
2023,Malicious damage to property,248
2023,Murder,29
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,61
2023,Robbery at non-residential premises,44
2023,Robbery at residential premises,93
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,604
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,114
2023,Stock-theft,8
2023,Street Robbery,269
2023,TRIO crimes,319
2023,Theft of motor vehicle and motorcycle,36
2023,Theft out of or from motor vehicle,96
2023,Truck hijacking,13
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,286
2022,Attempted murder,57
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,66
2022,Burglary at residential premises,329
2022,Carjacking,135
2022,Commercial crime,123
2022,Common assault,440
2022,Common robbery,93
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,48
2022,Drug-related crime,310
2022,Illegal possession of firearms and ammunition,20
2022,Kidnapping,69
2022,Malicious damage to property,229
2022,Murder,38
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,83
2022,Robbery at non-residential premises,66
2022,Robbery at residential premises,40
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,504
2022,Sexual Offences detected as a result of police action,2
2022,Sexual assault,15
2022,Shoplifting,89
2022,Stock-theft,1
2022,Street Robbery,262
2022,TRIO crimes,241
2022,Theft of motor vehicle and motorcycle,33
2022,Theft out of or from motor vehicle,117
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,233
2021,Attempted murder,34
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,123
2021,Burglary at residential premises,230
2021,Carjacking,57
2021,Commercial crime,60
2021,Common assault,273
2021,Common robbery,81
2021,Contact sexual offences,2
2021,Crimen Injuria,11
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,30
2021,Drug-related crime,181
2021,Illegal possession of firearms and ammunition,27
2021,Kidnapping,11
2021,Malicious damage to property,134
2021,Murder,13
2021,Neglect and ill-treatment of children,2
2021,Public violence,0
2021,Rape,57
2021,Robbery at non-residential premises,53
2021,Robbery at residential premises,38
