year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,708
2024,Attempted murder,58
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,53
2024,Burglary at residential premises,318
2024,Carjacking,195
2024,Commercial crime,306
2024,Common assault,1048
2024,Common robbery,140
2024,Contact sexual offences,5
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,266
2024,Drug-related crime,765
2024,Illegal possession of firearms and ammunition,62
2024,Kidnapping,57
2024,Malicious damage to property,495
2024,Murder,82
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,176
2024,Robbery at non-residential premises,53
2024,Robbery at residential premises,90
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,659
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,24
2024,Shoplifting,187
2024,Stock-theft,2
2024,Street Robbery,340
2024,TRIO crimes,338
2024,Theft of motor vehicle and motorcycle,100
2024,Theft out of or from motor vehicle,123
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,657
2023,Attempted murder,92
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,92
2023,Burglary at residential premises,448
2023,Carjacking,164
2023,Commercial crime,239
2023,Common assault,1124
2023,Common robbery,129
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,165
2023,Drug-related crime,708
2023,Illegal possession of firearms and ammunition,58
2023,Kidnapping,52
2023,Malicious damage to property,543
2023,Murder,77
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,167
2023,Robbery at non-residential premises,65
2023,Robbery at residential premises,67
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,674
2023,Sexual Offences detected as a result of police action,4
2023,Sexual assault,24
2023,Shoplifting,183
2023,Stock-theft,1
2023,Street Robbery,373
2023,TRIO crimes,296
2023,Theft of motor vehicle and motorcycle,101
2023,Theft out of or from motor vehicle,142
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,16
2022,Assault with the intent to inflict grievous bodily harm,733
2022,Attempted murder,108
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,51
2022,Burglary at residential premises,409
2022,Carjacking,248
2022,Commercial crime,213
2022,Common assault,1111
2022,Common robbery,130
2022,Contact sexual offences,6
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,243
2022,Drug-related crime,636
2022,Illegal possession of firearms and ammunition,31
2022,Kidnapping,54
2022,Malicious damage to property,533
2022,Murder,76
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,158
2022,Robbery at non-residential premises,105
