year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,381
2024,Attempted murder,31
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,158
2024,Burglary at residential premises,77
2024,Carjacking,61
2024,Commercial crime,602
2024,Common assault,557
2024,Common robbery,545
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,213
2024,Drug-related crime,590
2024,Illegal possession of firearms and ammunition,28
2024,Kidnapping,56
2024,Malicious damage to property,254
2024,Murder,26
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,76
2024,Robbery at non-residential premises,45
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,587
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,21
2024,Shoplifting,545
2024,Stock-theft,0
2024,Street Robbery,116
2024,TRIO crimes,114
2024,Theft of motor vehicle and motorcycle,200
2024,Theft out of or from motor vehicle,1024
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,393
2023,Attempted murder,38
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,114
2023,Burglary at residential premises,52
2023,Carjacking,51
2023,Commercial crime,582
2023,Common assault,481
2023,Common robbery,575
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,143
2023,Drug-related crime,598
2023,Illegal possession of firearms and ammunition,25
2023,Kidnapping,50
2023,Malicious damage to property,341
2023,Murder,20
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,71
2023,Robbery at non-residential premises,86
2023,Robbery at residential premises,3
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,567
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,443
2023,Stock-theft,0
2023,Street Robbery,427
2023,TRIO crimes,140
2023,Theft of motor vehicle and motorcycle,255
2023,Theft out of or from motor vehicle,941
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,318
2022,Attempted murder,28
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,176
2022,Burglary at residential premises,43
2022,Carjacking,45
2022,Commercial crime,534
2022,Common assault,438
2022,Common robbery,498
2022,Contact sexual offences,5
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,160
2022,Drug-related crime,577
2022,Illegal possession of firearms and ammunition,24
2022,Kidnapping,31
2022,Malicious damage to property,304
2022,Murder,24
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,81
2022,Robbery at non-residential premises,134
2022,Robbery at residential premises,2
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,593
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,34
2022,Shoplifting,58
2022,Stock-theft,0
2022,Street Robbery,406
2022,TRIO crimes,181
2022,Theft of motor vehicle and motorcycle,310
2022,Theft out of or from motor vehicle,866
2022,Truck hijacking,6
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,267
2021,Attempted murder,36
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,179
2021,Burglary at residential premises,43
2021,Carjacking,44
2021,Commercial crime,525
2021,Common assault,426
2021,Common robbery,486
2021,Contact sexual offences,5
2021,Crimen Injuria,36
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,74
2021,Drug-related crime,304
2021,Illegal possession of firearms and ammunition,18
2021,Kidnapping,20
2021,Malicious damage to property,338
2021,Murder,20
2021,Neglect and ill-treatment of children,2
2021,Public violence,7
2021,Rape,51
2021,Robbery at non-residential premises,96
