year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,254
2024,Attempted murder,57
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,127
2024,Burglary at residential premises,376
2024,Carjacking,194
2024,Commercial crime,346
2024,Common assault,477
2024,Common robbery,112
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,91
2024,Drug-related crime,231
2024,Illegal possession of firearms and ammunition,20
2024,Kidnapping,88
2024,Malicious damage to property,271
2024,Murder,31
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,81
2024,Robbery at non-residential premises,75
2024,Robbery at residential premises,73
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,722
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,22
2024,Shoplifting,85
2024,Stock-theft,0
2024,Street Robbery,346
2024,TRIO crimes,342
2024,Theft of motor vehicle and motorcycle,262
2024,Theft out of or from motor vehicle,296
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,213
2023,Attempted murder,65
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,111
2023,Burglary at residential premises,414
2023,Carjacking,232
2023,Commercial crime,334
2023,Common assault,458
2023,Common robbery,114
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,77
2023,Drug-related crime,312
2023,Illegal possession of firearms and ammunition,29
2023,Kidnapping,110
2023,Malicious damage to property,259
2023,Murder,34
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,72
2023,Robbery at non-residential premises,109
2023,Robbery at residential premises,78
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,853
2023,Sexual Offences detected as a result of police action,6
2023,Sexual assault,14
2023,Shoplifting,117
2023,Stock-theft,0
2023,Street Robbery,431
2023,TRIO crimes,419
2023,Theft of motor vehicle and motorcycle,264
2023,Theft out of or from motor vehicle,365
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,223
2022,Attempted murder,36
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,108
2022,Burglary at residential premises,317
2022,Carjacking,177
2022,Commercial crime,263
2022,Common assault,356
2022,Common robbery,92
2022,Contact sexual offences,4
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,147
2022,Drug-related crime,308
2022,Illegal possession of firearms and ammunition,30
2022,Kidnapping,17
2022,Malicious damage to property,257
2022,Murder,31
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,79
2022,Robbery at non-residential premises,94
2022,Robbery at residential premises,65
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,695
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,18
2022,Shoplifting,51
2022,Stock-theft,0
2022,Street Robbery,353
2022,TRIO crimes,336
2022,Theft of motor vehicle and motorcycle,254
2022,Theft out of or from motor vehicle,331
2022,Truck hijacking,5
2021,Abduction,0
2021,Arson,3
2021,Assault with the intent to inflict grievous bodily harm,196
2021,Attempted murder,22
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,130
2021,Burglary at residential premises,353
2021,Carjacking,137
2021,Commercial crime,201
2021,Common assault,351
2021,Common robbery,100
2021,Contact sexual offences,1
2021,Crimen Injuria,20
2021,Culpable homicide,24
2021,Driving under the influence of alcohol or drugs,87
2021,Drug-related crime,282
2021,Illegal possession of firearms and ammunition,20
2021,Kidnapping,17
2021,Malicious damage to property,219
2021,Murder,21
2021,Neglect and ill-treatment of children,1
2021,Public violence,0
2021,Rape,69
2021,Robbery at non-residential premises,52
2021,Robbery at residential premises,49
