year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,25
2024,Attempted murder,24
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,72
2024,Burglary at residential premises,263
2024,Carjacking,12
2024,Commercial crime,767
2024,Common assault,262
2024,Common robbery,64
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,111
2024,Drug-related crime,89
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,34
2024,Malicious damage to property,133
2024,Murder,5
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,13
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,157
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,18
2024,Shoplifting,164
2024,Stock-theft,3
2024,Street Robbery,78
2024,TRIO crimes,57
2024,Theft of motor vehicle and motorcycle,455
2024,Theft out of or from motor vehicle,222
2024,Truck hijacking,21
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,27
2023,Attempted murder,14
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,71
2023,Burglary at residential premises,269
2023,Carjacking,19
2023,Commercial crime,663
2023,Common assault,260
2023,Common robbery,60
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,61
2023,Drug-related crime,177
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,25
2023,Malicious damage to property,140
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,12
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,16
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,184
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,15
2023,Shoplifting,190
2023,Stock-theft,0
2023,Street Robbery,102
2023,TRIO crimes,70
2023,Theft of motor vehicle and motorcycle,380
2023,Theft out of or from motor vehicle,227
