year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,111
2024,Attempted murder,13
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,78
2024,Burglary at residential premises,200
2024,Carjacking,118
2024,Commercial crime,573
2024,Common assault,536
2024,Common robbery,422
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,462
2024,Drug-related crime,623
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,74
2024,Malicious damage to property,217
2024,Murder,10
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,53
2024,Robbery at residential premises,67
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,747
2024,Sexual Offences detected as a result of police action,90
2024,Sexual assault,18
2024,Shoplifting,173
2024,Stock-theft,0
2024,Street Robbery,238
2024,TRIO crimes,238
2024,Theft of motor vehicle and motorcycle,311
2024,Theft out of or from motor vehicle,831
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,125
2023,Attempted murder,19
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,80
2023,Burglary at residential premises,167
2023,Carjacking,103
2023,Commercial crime,428
2023,Common assault,572
2023,Common robbery,410
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,363
2023,Drug-related crime,418
2023,Illegal possession of firearms and ammunition,10
2023,Kidnapping,68
2023,Malicious damage to property,223
2023,Murder,14
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,68
2023,Robbery at non-residential premises,50
2023,Robbery at residential premises,45
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,744
2023,Sexual Offences detected as a result of police action,118
2023,Sexual assault,31
2023,Shoplifting,218
2023,Stock-theft,0
2023,Street Robbery,544
2023,TRIO crimes,198
2023,Theft of motor vehicle and motorcycle,473
2023,Theft out of or from motor vehicle,963
