year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,28
2024,Attempted murder,7
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,48
2024,Burglary at residential premises,221
2024,Carjacking,36
2024,Commercial crime,314
2024,Common assault,136
2024,Common robbery,49
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,43
2024,Drug-related crime,163
2024,Illegal possession of firearms and ammunition,24
2024,Kidnapping,4
2024,Malicious damage to property,50
2024,Murder,2
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,22
2024,Robbery at residential premises,20
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,154
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,59
2024,Stock-theft,0
2024,Street Robbery,79
2024,TRIO crimes,78
2024,Theft of motor vehicle and motorcycle,229
2024,Theft out of or from motor vehicle,150
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,21
2023,Attempted murder,9
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,46
2023,Burglary at residential premises,293
2023,Carjacking,31
2023,Commercial crime,295
2023,Common assault,160
2023,Common robbery,38
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,44
2023,Drug-related crime,134
2023,Illegal possession of firearms and ammunition,14
2023,Kidnapping,11
2023,Malicious damage to property,56
2023,Murder,4
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,16
2023,Robbery at non-residential premises,30
2023,Robbery at residential premises,24
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,168
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,41
2023,Stock-theft,1
2023,Street Robbery,82
2023,TRIO crimes,85
2023,Theft of motor vehicle and motorcycle,261
