year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,71
2024,Attempted murder,9
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,146
2024,Burglary at residential premises,677
2024,Carjacking,90
2024,Commercial crime,1003
2024,Common assault,230
2024,Common robbery,151
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,21
2024,Drug-related crime,39
2024,Illegal possession of firearms and ammunition,3
2024,Kidnapping,32
2024,Malicious damage to property,244
2024,Murder,10
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,17
2024,Robbery at non-residential premises,31
2024,Robbery at residential premises,95
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,396
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,14
2024,Shoplifting,115
2024,Stock-theft,0
2024,Street Robbery,228
2024,TRIO crimes,216
2024,Theft of motor vehicle and motorcycle,478
2024,Theft out of or from motor vehicle,431
2024,Truck hijacking,12
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,65
2023,Attempted murder,26
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,154
2023,Burglary at residential premises,675
2023,Carjacking,86
2023,Commercial crime,814
2023,Common assault,245
2023,Common robbery,152
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,45
2023,Drug-related crime,41
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,60
2023,Malicious damage to property,197
2023,Murder,11
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,29
2023,Robbery at non-residential premises,45
2023,Robbery at residential premises,81
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,383
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,19
2023,Shoplifting,106
2023,Stock-theft,0
2023,Street Robbery,157
2023,TRIO crimes,212
2023,Theft of motor vehicle and motorcycle,353
2023,Theft out of or from motor vehicle,457
2023,Truck hijacking,14
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,65
2022,Attempted murder,17
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,155
2022,Burglary at residential premises,679
2022,Carjacking,64
2022,Commercial crime,743
2022,Common assault,248
2022,Common robbery,123
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,54
2022,Drug-related crime,62
2022,Illegal possession of firearms and ammunition,8
2022,Kidnapping,45
2022,Malicious damage to property,227
2022,Murder,5
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,21
2022,Robbery at non-residential premises,46
2022,Robbery at residential premises,74
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,323
2022,Sexual Offences detected as a result of police action,3
2022,Sexual assault,14
2022,Shoplifting,98
2022,Stock-theft,0
2022,Street Robbery,130
2022,TRIO crimes,184
2022,Theft of motor vehicle and motorcycle,514
2022,Theft out of or from motor vehicle,477
2022,Truck hijacking,8
2021,Abduction,0
2021,Arson,0
2021,Assault with the intent to inflict grievous bodily harm,57
2021,Attempted murder,13
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,179
2021,Burglary at residential premises,689
2021,Carjacking,90
2021,Commercial crime,571
2021,Common assault,209
2021,Common robbery,143
2021,Contact sexual offences,3
2021,Crimen Injuria,35
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,49
2021,Drug-related crime,62
2021,Illegal possession of firearms and ammunition,5
2021,Kidnapping,46
2021,Malicious damage to property,250
2021,Murder,10
2021,Neglect and ill-treatment of children,0
2021,Public violence,1
2021,Rape,19
2021,Robbery at non-residential premises,44
