year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,19
2024,Attempted murder,5
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,38
2024,Burglary at residential premises,118
2024,Carjacking,11
2024,Commercial crime,141
2024,Common assault,100
2024,Common robbery,42
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,43
2024,Drug-related crime,69
2024,Illegal possession of firearms and ammunition,4
2024,Kidnapping,8
2024,Malicious damage to property,45
2024,Murder,3
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,10
2024,Robbery at non-residential premises,9
2024,Robbery at residential premises,25
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,108
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,30
2024,Stock-theft,0
2024,Street Robbery,47
2024,TRIO crimes,45
2024,Theft of motor vehicle and motorcycle,171
2024,Theft out of or from motor vehicle,87
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,18
2023,Attempted murder,7
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,27
2023,Burglary at residential premises,131
2023,Carjacking,10
2023,Commercial crime,109
2023,Common assault,91
2023,Common robbery,29
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,39
2023,Drug-related crime,75
2023,Illegal possession of firearms and ammunition,4
2023,Kidnapping,6
2023,Malicious damage to property,76
2023,Murder,0
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,7
2023,Robbery at non-residential premises,15
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,101
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,41
2023,Stock-theft,0
2023,Street Robbery,67
2023,TRIO crimes,34
2023,Theft of motor vehicle and motorcycle,209
