year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,148
2024,Attempted murder,18
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,42
2024,Burglary at residential premises,99
2024,Carjacking,24
2024,Commercial crime,45
2024,Common assault,57
2024,Common robbery,17
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,65
2024,Drug-related crime,401
2024,Illegal possession of firearms and ammunition,31
2024,Kidnapping,24
2024,Malicious damage to property,53
2024,Murder,45
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,30
2024,Robbery at non-residential premises,18
2024,Robbery at residential premises,7
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,100
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,5
2024,Shoplifting,18
2024,Stock-theft,0
2024,Street Robbery,51
2024,TRIO crimes,49
2024,Theft of motor vehicle and motorcycle,58
2024,Theft out of or from motor vehicle,42
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,172
2023,Attempted murder,40
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,25
2023,Burglary at residential premises,62
2023,Carjacking,18
2023,Commercial crime,51
2023,Common assault,108
2023,Common robbery,27
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,26
2023,Drug-related crime,315
2023,Illegal possession of firearms and ammunition,18
2023,Kidnapping,21
2023,Malicious damage to property,83
2023,Murder,38
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,35
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,7
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,116
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,27
2023,Stock-theft,0
2023,Street Robbery,59
2023,TRIO crimes,53
2023,Theft of motor vehicle and motorcycle,11
