year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,166
2024,Attempted murder,49
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,158
2024,Burglary at residential premises,202
2024,Carjacking,124
2024,Commercial crime,484
2024,Common assault,263
2024,Common robbery,50
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,112
2024,Drug-related crime,321
2024,Illegal possession of firearms and ammunition,36
2024,Kidnapping,79
2024,Malicious damage to property,180
2024,Murder,45
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,47
2024,Robbery at non-residential premises,57
2024,Robbery at residential premises,72
2024,Robbery of cash in transit,3
2024,Robbery with aggravating circumstances,490
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,18
2024,Shoplifting,279
2024,Stock-theft,0
2024,Street Robbery,305
2024,TRIO crimes,253
2024,Theft of motor vehicle and motorcycle,305
2024,Theft out of or from motor vehicle,180
2024,Truck hijacking,49
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,173
2023,Attempted murder,56
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,188
2023,Burglary at residential premises,294
2023,Carjacking,115
2023,Commercial crime,427
2023,Common assault,299
2023,Common robbery,57
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,115
2023,Drug-related crime,243
2023,Illegal possession of firearms and ammunition,31
2023,Kidnapping,86
2023,Malicious damage to property,218
2023,Murder,59
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,47
2023,Robbery at non-residential premises,68
2023,Robbery at residential premises,64
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,490
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,18
2023,Shoplifting,265
2023,Stock-theft,0
2023,Street Robbery,200
2023,TRIO crimes,247
2023,Theft of motor vehicle and motorcycle,312
