year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,47
2024,Attempted murder,27
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,72
2024,Burglary at residential premises,57
2024,Carjacking,99
2024,Commercial crime,301
2024,Common assault,179
2024,Common robbery,61
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,130
2024,Drug-related crime,25
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,56
2024,Malicious damage to property,110
2024,Murder,8
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,13
2024,Robbery at non-residential premises,29
2024,Robbery at residential premises,45
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,296
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,3
2024,Shoplifting,265
2024,Stock-theft,0
2024,Street Robbery,196
2024,TRIO crimes,173
2024,Theft of motor vehicle and motorcycle,205
2024,Theft out of or from motor vehicle,168
2024,Truck hijacking,23
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,52
2023,Attempted murder,15
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,78
2023,Burglary at residential premises,52
2023,Carjacking,80
2023,Commercial crime,266
2023,Common assault,125
2023,Common robbery,51
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,128
2023,Drug-related crime,22
2023,Illegal possession of firearms and ammunition,15
2023,Kidnapping,36
2023,Malicious damage to property,105
2023,Murder,6
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,13
2023,Robbery at non-residential premises,53
2023,Robbery at residential premises,24
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,302
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,208
2023,Stock-theft,0
2023,Street Robbery,113
2023,TRIO crimes,157
2023,Theft of motor vehicle and motorcycle,163
