year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,254
2024,Attempted murder,39
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,267
2024,Burglary at residential premises,318
2024,Carjacking,85
2024,Commercial crime,785
2024,Common assault,474
2024,Common robbery,126
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,219
2024,Drug-related crime,550
2024,Illegal possession of firearms and ammunition,29
2024,Kidnapping,77
2024,Malicious damage to property,263
2024,Murder,61
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,60
2024,Robbery at non-residential premises,79
2024,Robbery at residential premises,123
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,521
2024,Sexual Offences detected as a result of police action,31
2024,Sexual assault,15
2024,Shoplifting,218
2024,Stock-theft,1
2024,Street Robbery,299
2024,TRIO crimes,287
2024,Theft of motor vehicle and motorcycle,364
2024,Theft out of or from motor vehicle,318
2024,Truck hijacking,12
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,259
2023,Attempted murder,59
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,256
2023,Burglary at residential premises,464
2023,Carjacking,68
2023,Commercial crime,588
2023,Common assault,427
2023,Common robbery,142
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,166
2023,Drug-related crime,459
2023,Illegal possession of firearms and ammunition,32
2023,Kidnapping,54
2023,Malicious damage to property,263
2023,Murder,56
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,76
2023,Robbery at non-residential premises,71
2023,Robbery at residential premises,97
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,518
2023,Sexual Offences detected as a result of police action,18
2023,Sexual assault,12
2023,Shoplifting,201
2023,Stock-theft,3
2023,Street Robbery,272
2023,TRIO crimes,236
2023,Theft of motor vehicle and motorcycle,388
2023,Theft out of or from motor vehicle,323
2023,Truck hijacking,10
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,233
2022,Attempted murder,43
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,246
2022,Burglary at residential premises,450
2022,Carjacking,68
2022,Commercial crime,596
2022,Common assault,415
2022,Common robbery,153
2022,Contact sexual offences,5
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,123
2022,Drug-related crime,405
2022,Illegal possession of firearms and ammunition,31
2022,Kidnapping,25
2022,Malicious damage to property,203
2022,Murder,54
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,56
2022,Robbery at non-residential premises,66
2022,Robbery at residential premises,70
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,483
2022,Sexual Offences detected as a result of police action,3
2022,Sexual assault,25
2022,Shoplifting,226
2022,Stock-theft,0
2022,Street Robbery,266
2022,TRIO crimes,204
2022,Theft of motor vehicle and motorcycle,303
2022,Theft out of or from motor vehicle,413
2022,Truck hijacking,12
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,229
2021,Attempted murder,46
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,235
2021,Burglary at residential premises,346
2021,Carjacking,50
2021,Commercial crime,439
2021,Common assault,339
2021,Common robbery,117
2021,Contact sexual offences,3
2021,Crimen Injuria,26
2021,Culpable homicide,34
2021,Driving under the influence of alcohol or drugs,132
2021,Drug-related crime,262
2021,Illegal possession of firearms and ammunition,41
2021,Kidnapping,16
2021,Malicious damage to property,165
2021,Murder,51
2021,Neglect and ill-treatment of children,6
2021,Public violence,1
2021,Rape,59
2021,Robbery at non-residential premises,63
2021,Robbery at residential premises,89
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,455
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,22
2021,Shoplifting,209
2021,Stock-theft,1
2021,Street Robbery,241
2021,TRIO crimes,202
2021,Theft of motor vehicle and motorcycle,369
2021,Theft out of or from motor vehicle,421
2021,Truck hijacking,10
2020,Abduction,0
2020,Arson,1
2020,Assault with the intent to inflict grievous bodily harm,274
2020,Attempted murder,32
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,295
2020,Burglary at residential premises,543
2020,Carjacking,74
2020,Commercial crime,452
2020,Common assault,433
2020,Common robbery,164
2020,Contact sexual offences,0
2020,Crimen Injuria,34
2020,Culpable homicide,43
2020,Driving under the influence of alcohol or drugs,447
2020,Drug-related crime,400
2020,Illegal possession of firearms and ammunition,41
