year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,160
2024,Attempted murder,26
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,200
2024,Burglary at residential premises,314
2024,Carjacking,111
2024,Commercial crime,816
2024,Common assault,330
2024,Common robbery,56
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,51
2024,Drug-related crime,182
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,75
2024,Malicious damage to property,160
2024,Murder,14
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,23
2024,Robbery at non-residential premises,68
2024,Robbery at residential premises,52
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,456
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,18
2024,Shoplifting,234
2024,Stock-theft,0
2024,Street Robbery,270
2024,TRIO crimes,231
2024,Theft of motor vehicle and motorcycle,411
2024,Theft out of or from motor vehicle,295
2024,Truck hijacking,39
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,118
2023,Attempted murder,43
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,177
2023,Burglary at residential premises,259
2023,Carjacking,97
2023,Commercial crime,677
2023,Common assault,338
2023,Common robbery,45
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,70
2023,Drug-related crime,163
2023,Illegal possession of firearms and ammunition,39
2023,Kidnapping,101
2023,Malicious damage to property,163
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,30
2023,Robbery at non-residential premises,97
2023,Robbery at residential premises,42
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,477
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,23
2023,Shoplifting,249
2023,Stock-theft,0
2023,Street Robbery,204
2023,TRIO crimes,236
2023,Theft of motor vehicle and motorcycle,410
2023,Theft out of or from motor vehicle,358
2023,Truck hijacking,37
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,155
2022,Attempted murder,20
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,185
2022,Burglary at residential premises,235
2022,Carjacking,85
2022,Commercial crime,670
2022,Common assault,300
2022,Common robbery,45
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,118
2022,Drug-related crime,202
2022,Illegal possession of firearms and ammunition,42
2022,Kidnapping,26
2022,Malicious damage to property,129
2022,Murder,9
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,27
2022,Robbery at non-residential premises,107
2022,Robbery at residential premises,17
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,418
2022,Sexual Offences detected as a result of police action,2
2022,Sexual assault,26
2022,Shoplifting,227
2022,Stock-theft,0
2022,Street Robbery,189
2022,TRIO crimes,209
2022,Theft of motor vehicle and motorcycle,341
2022,Theft out of or from motor vehicle,420
2022,Truck hijacking,20
2021,Abduction,0
2021,Arson,0
2021,Assault with the intent to inflict grievous bodily harm,128
2021,Attempted murder,25
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,195
2021,Burglary at residential premises,252
2021,Carjacking,65
2021,Commercial crime,492
2021,Common assault,303
2021,Common robbery,51
2021,Contact sexual offences,7
2021,Crimen Injuria,25
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,191
2021,Drug-related crime,613
2021,Illegal possession of firearms and ammunition,45
2021,Kidnapping,7
2021,Malicious damage to property,164
2021,Murder,8
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,24
2021,Robbery at non-residential premises,87
2021,Robbery at residential premises,55
