year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,168
2024,Attempted murder,35
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,101
2024,Burglary at residential premises,226
2024,Carjacking,86
2024,Commercial crime,367
2024,Common assault,304
2024,Common robbery,73
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,81
2024,Drug-related crime,197
2024,Illegal possession of firearms and ammunition,14
2024,Kidnapping,56
2024,Malicious damage to property,218
2024,Murder,48
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,36
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,35
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,318
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,16
2024,Shoplifting,82
2024,Stock-theft,0
2024,Street Robbery,167
2024,TRIO crimes,148
2024,Theft of motor vehicle and motorcycle,181
2024,Theft out of or from motor vehicle,217
2024,Truck hijacking,19
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,146
2023,Attempted murder,26
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,122
2023,Burglary at residential premises,255
2023,Carjacking,59
2023,Commercial crime,331
2023,Common assault,265
2023,Common robbery,78
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,77
2023,Drug-related crime,140
2023,Illegal possession of firearms and ammunition,16
2023,Kidnapping,63
2023,Malicious damage to property,219
2023,Murder,43
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,34
2023,Robbery at non-residential premises,43
2023,Robbery at residential premises,29
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,282
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,18
2023,Shoplifting,87
2023,Stock-theft,0
2023,Street Robbery,130
2023,TRIO crimes,131
2023,Theft of motor vehicle and motorcycle,185
