year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,44
2024,Attempted murder,12
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,29
2024,Burglary at residential premises,206
2024,Carjacking,38
2024,Commercial crime,426
2024,Common assault,157
2024,Common robbery,50
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,149
2024,Drug-related crime,131
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,16
2024,Malicious damage to property,130
2024,Murder,12
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,20
2024,Robbery at residential premises,21
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,172
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,70
2024,Stock-theft,0
2024,Street Robbery,98
2024,TRIO crimes,79
2024,Theft of motor vehicle and motorcycle,118
2024,Theft out of or from motor vehicle,134
2024,Truck hijacking,19
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,85
2023,Attempted murder,26
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,33
2023,Burglary at residential premises,239
2023,Carjacking,29
2023,Commercial crime,363
2023,Common assault,186
2023,Common robbery,65
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,159
2023,Drug-related crime,174
2023,Illegal possession of firearms and ammunition,34
2023,Kidnapping,7
2023,Malicious damage to property,145
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,19
2023,Robbery at non-residential premises,19
2023,Robbery at residential premises,19
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,159
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,46
2023,Stock-theft,0
2023,Street Robbery,77
2023,TRIO crimes,67
2023,Theft of motor vehicle and motorcycle,118
2023,Theft out of or from motor vehicle,156
2023,Truck hijacking,15
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,51
2022,Attempted murder,13
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,24
2022,Burglary at residential premises,195
2022,Carjacking,44
2022,Commercial crime,323
2022,Common assault,151
2022,Common robbery,57
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,125
2022,Drug-related crime,164
2022,Illegal possession of firearms and ammunition,11
2022,Kidnapping,4
2022,Malicious damage to property,121
2022,Murder,7
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,20
2022,Robbery at non-residential premises,21
2022,Robbery at residential premises,23
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,184
2022,Sexual Offences detected as a result of police action,3
2022,Sexual assault,13
2022,Shoplifting,42
2022,Stock-theft,0
2022,Street Robbery,79
2022,TRIO crimes,88
2022,Theft of motor vehicle and motorcycle,109
2022,Theft out of or from motor vehicle,132
2022,Truck hijacking,16
2021,Abduction,0
2021,Arson,1
2021,Assault with the intent to inflict grievous bodily harm,49
2021,Attempted murder,12
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,49
2021,Burglary at residential premises,225
2021,Carjacking,49
2021,Commercial crime,248
2021,Common assault,141
2021,Common robbery,51
2021,Contact sexual offences,3
2021,Crimen Injuria,101
2021,Culpable homicide,10
2021,Driving under the influence of alcohol or drugs,193
2021,Drug-related crime,101
2021,Illegal possession of firearms and ammunition,6
2021,Kidnapping,3
2021,Malicious damage to property,123
2021,Murder,9
2021,Neglect and ill-treatment of children,3
2021,Public violence,5
2021,Rape,16
2021,Robbery at non-residential premises,24
2021,Robbery at residential premises,16
