year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,117
2024,Attempted murder,33
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,48
2024,Burglary at residential premises,214
2024,Carjacking,31
2024,Commercial crime,119
2024,Common assault,75
2024,Common robbery,26
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,152
2024,Drug-related crime,93
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,18
2024,Malicious damage to property,75
2024,Murder,55
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,26
2024,Robbery at residential premises,54
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,154
2024,Sexual Offences detected as a result of police action,16
2024,Sexual assault,3
2024,Shoplifting,25
2024,Stock-theft,6
2024,Street Robbery,114
2024,TRIO crimes,111
2024,Theft of motor vehicle and motorcycle,75
2024,Theft out of or from motor vehicle,76
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,75
2023,Attempted murder,33
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,56
2023,Burglary at residential premises,188
2023,Carjacking,40
2023,Commercial crime,100
2023,Common assault,75
2023,Common robbery,21
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,80
2023,Drug-related crime,63
2023,Illegal possession of firearms and ammunition,11
2023,Kidnapping,12
2023,Malicious damage to property,88
2023,Murder,56
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,39
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,43
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,181
2023,Sexual Offences detected as a result of police action,16
2023,Sexual assault,4
2023,Shoplifting,25
2023,Stock-theft,0
2023,Street Robbery,60
2023,TRIO crimes,118
2023,Theft of motor vehicle and motorcycle,87
2023,Theft out of or from motor vehicle,38
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,56
2022,Attempted murder,20
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,46
2022,Burglary at residential premises,214
2022,Carjacking,36
2022,Commercial crime,96
2022,Common assault,37
2022,Common robbery,10
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,84
2022,Drug-related crime,43
2022,Illegal possession of firearms and ammunition,8
2022,Kidnapping,4
2022,Malicious damage to property,64
2022,Murder,30
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,28
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,34
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,140
2022,Sexual Offences detected as a result of police action,5
2022,Sexual assault,2
2022,Shoplifting,28
2022,Stock-theft,2
2022,Street Robbery,44
2022,TRIO crimes,96
2022,Theft of motor vehicle and motorcycle,69
2022,Theft out of or from motor vehicle,60
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,1
