year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,271
2024,Attempted murder,74
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,26
2024,Burglary at residential premises,269
2024,Carjacking,72
2024,Commercial crime,155
2024,Common assault,499
2024,Common robbery,35
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,79
2024,Drug-related crime,176
2024,Illegal possession of firearms and ammunition,46
2024,Kidnapping,45
2024,Malicious damage to property,209
2024,Murder,68
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,124
2024,Robbery at non-residential premises,31
2024,Robbery at residential premises,108
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,380
2024,Sexual Offences detected as a result of police action,103
2024,Sexual assault,17
2024,Shoplifting,21
2024,Stock-theft,2
2024,Street Robbery,215
2024,TRIO crimes,211
2024,Theft of motor vehicle and motorcycle,69
2024,Theft out of or from motor vehicle,74
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,242
2023,Attempted murder,46
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,41
2023,Burglary at residential premises,337
2023,Carjacking,56
2023,Commercial crime,148
2023,Common assault,435
2023,Common robbery,33
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,43
2023,Drug-related crime,108
2023,Illegal possession of firearms and ammunition,36
2023,Kidnapping,36
2023,Malicious damage to property,188
2023,Murder,76
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,82
2023,Robbery at non-residential premises,39
2023,Robbery at residential premises,93
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,369
2023,Sexual Offences detected as a result of police action,79
2023,Sexual assault,16
2023,Shoplifting,21
2023,Stock-theft,7
2023,Street Robbery,179
2023,TRIO crimes,188
2023,Theft of motor vehicle and motorcycle,51
2023,Theft out of or from motor vehicle,89
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,264
2022,Attempted murder,64
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,42
2022,Burglary at residential premises,366
2022,Carjacking,97
2022,Commercial crime,141
2022,Common assault,401
2022,Common robbery,35
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,82
2022,Drug-related crime,84
2022,Illegal possession of firearms and ammunition,35
2022,Kidnapping,35
2022,Malicious damage to property,180
2022,Murder,70
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,103
2022,Robbery at non-residential premises,43
2022,Robbery at residential premises,40
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,293
2022,Sexual Offences detected as a result of police action,78
2022,Sexual assault,27
2022,Shoplifting,19
2022,Stock-theft,5
2022,Street Robbery,111
2022,TRIO crimes,180
2022,Theft of motor vehicle and motorcycle,61
2022,Theft out of or from motor vehicle,62
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,221
2021,Attempted murder,29
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,49
2021,Burglary at residential premises,331
2021,Carjacking,82
2021,Commercial crime,119
2021,Common assault,427
2021,Common robbery,43
2021,Contact sexual offences,1
2021,Crimen Injuria,6
2021,Culpable homicide,17
2021,Driving under the influence of alcohol or drugs,46
2021,Drug-related crime,104
2021,Illegal possession of firearms and ammunition,35
2021,Kidnapping,11
2021,Malicious damage to property,163
2021,Murder,51
2021,Neglect and ill-treatment of children,2
2021,Public violence,1
2021,Rape,88
2021,Robbery at non-residential premises,28
2021,Robbery at residential premises,41
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,273
2021,Sexual Offences detected as a result of police action,82
2021,Sexual assault,14
2021,Shoplifting,21
2021,Stock-theft,5
2021,Street Robbery,118
2021,TRIO crimes,151
2021,Theft of motor vehicle and motorcycle,81
2021,Theft out of or from motor vehicle,87
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,9
2020,Assault with the intent to inflict grievous bodily harm,262
2020,Attempted murder,33
2020,Attempted sexual offences,0
2020,Bank robbery,0
2020,Burglary at non-residential premises,42
2020,Burglary at residential premises,420
2020,Carjacking,100
2020,Commercial crime,81
2020,Common assault,389
2020,Common robbery,44
2020,Contact sexual offences,1
2020,Crimen Injuria,8
2020,Culpable homicide,23
2020,Driving under the influence of alcohol or drugs,180
2020,Drug-related crime,110
2020,Illegal possession of firearms and ammunition,35
2020,Kidnapping,12
2020,Malicious damage to property,150
2020,Murder,61
2020,Neglect and ill-treatment of children,6
2020,Public violence,8
2020,Rape,72
2020,Robbery at non-residential premises,28
2020,Robbery at residential premises,47
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,305
2020,Sexual Offences detected as a result of police action,23
2020,Sexual assault,14
2020,Shoplifting,17
2020,Stock-theft,7
2020,Street Robbery,130
2020,TRIO crimes,175
2020,Theft of motor vehicle and motorcycle,134
2020,Theft out of or from motor vehicle,79
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,15
2019,Assault with the intent to inflict grievous bodily harm,286
2019,Attempted murder,32
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,24
2019,Burglary at residential premises,395
2019,Carjacking,63
2019,Commercial crime,66
2019,Common assault,336
2019,Common robbery,42
2019,Contact sexual offences,0
2019,Crimen Injuria,7
2019,Culpable homicide,26
2019,Driving under the influence of alcohol or drugs,75
2019,Drug-related crime,209
2019,Illegal possession of firearms and ammunition,27
2019,Kidnapping,13
2019,Malicious damage to property,191
2019,Murder,53
2019,Neglect and ill-treatment of children,1
2019,Public violence,3
2019,Rape,53
2019,Robbery at non-residential premises,22
2019,Robbery at residential premises,38
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,223
2019,Sexual Offences detected as a result of police action,12
2019,Sexual assault,17
2019,Shoplifting,14
2019,Stock-theft,5
2019,Street Robbery,98
2019,TRIO crimes,123
2019,Theft of motor vehicle and motorcycle,90
2019,Theft out of or from motor vehicle,95
2019,Truck hijacking,1
2018,Abduction,1
2018,Arson,7
2018,Assault with the intent to inflict grievous bodily harm,261
2018,Attempted murder,34
2018,Attempted sexual offences,2
2018,Bank robbery,0
2018,Burglary at non-residential premises,32
2018,Burglary at residential premises,426
2018,Carjacking,71
2018,Commercial crime,24
2018,Common assault,285
2018,Common robbery,40
2018,Contact sexual offences,3
2018,Crimen Injuria,5
2018,Culpable homicide,22
2018,Driving under the influence of alcohol or drugs,59
2018,Drug-related crime,203
2018,Illegal possession of firearms and ammunition,28
2018,Kidnapping,5
2018,Malicious damage to property,171
2018,Murder,42
2018,Neglect and ill-treatment of children,0
2018,Public violence,3
2018,Rape,74
2018,Robbery at non-residential premises,28
2018,Robbery at residential premises,58
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,248
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,6
2018,Shoplifting,10
2018,Stock-theft,8
2018,Street Robbery,91
2018,TRIO crimes,157
2018,Theft of motor vehicle and motorcycle,81
2018,Theft out of or from motor vehicle,108
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,14
2017,Assault with the intent to inflict grievous bodily harm,243
2017,Attempted murder,34
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,42
2017,Burglary at residential premises,507
2017,Carjacking,57
2017,Commercial crime,35
2017,Common assault,232
2017,Common robbery,54
2017,Contact sexual offences,0
2017,Crimen Injuria,5
2017,Culpable homicide,18
2017,Driving under the influence of alcohol or drugs,57
2017,Drug-related crime,154
2017,Illegal possession of firearms and ammunition,31
2017,Kidnapping,8
