year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,44
2024,Attempted murder,11
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,130
2024,Burglary at residential premises,148
2024,Carjacking,46
2024,Commercial crime,471
2024,Common assault,123
2024,Common robbery,55
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,197
2024,Drug-related crime,204
2024,Illegal possession of firearms and ammunition,21
2024,Kidnapping,20
2024,Malicious damage to property,115
2024,Murder,2
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,50
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,170
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,121
2024,Stock-theft,0
2024,Street Robbery,110
2024,TRIO crimes,108
2024,Theft of motor vehicle and motorcycle,188
2024,Theft out of or from motor vehicle,151
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,55
2023,Attempted murder,8
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,72
2023,Burglary at residential premises,99
2023,Carjacking,29
2023,Commercial crime,440
2023,Common assault,149
2023,Common robbery,72
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,158
2023,Drug-related crime,165
2023,Illegal possession of firearms and ammunition,15
2023,Kidnapping,13
2023,Malicious damage to property,123
2023,Murder,2
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,16
2023,Robbery at non-residential premises,36
2023,Robbery at residential premises,44
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,199
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,141
2023,Stock-theft,0
2023,Street Robbery,86
2023,TRIO crimes,109
2023,Theft of motor vehicle and motorcycle,122
