year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,159
2024,Attempted murder,40
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,61
2024,Burglary at residential premises,178
2024,Carjacking,38
2024,Commercial crime,246
2024,Common assault,151
2024,Common robbery,41
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,66
2024,Drug-related crime,175
2024,Illegal possession of firearms and ammunition,18
2024,Kidnapping,33
2024,Malicious damage to property,142
2024,Murder,36
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,55
2024,Robbery at non-residential premises,40
2024,Robbery at residential premises,42
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,249
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,9
2024,Shoplifting,16
2024,Stock-theft,3
2024,Street Robbery,138
2024,TRIO crimes,120
2024,Theft of motor vehicle and motorcycle,114
2024,Theft out of or from motor vehicle,95
2024,Truck hijacking,18
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,173
2023,Attempted murder,52
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,74
2023,Burglary at residential premises,169
2023,Carjacking,67
2023,Commercial crime,181
2023,Common assault,178
2023,Common robbery,47
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,62
2023,Drug-related crime,143
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,20
2023,Malicious damage to property,160
2023,Murder,50
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,48
2023,Robbery at non-residential premises,38
2023,Robbery at residential premises,71
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,300
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,10
2023,Shoplifting,12
2023,Stock-theft,1
2023,Street Robbery,111
2023,TRIO crimes,176
2023,Theft of motor vehicle and motorcycle,142
2023,Theft out of or from motor vehicle,93
2023,Truck hijacking,13
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,163
2022,Attempted murder,24
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,63
2022,Burglary at residential premises,252
2022,Carjacking,75
2022,Commercial crime,159
2022,Common assault,180
2022,Common robbery,42
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,105
2022,Drug-related crime,109
2022,Illegal possession of firearms and ammunition,10
2022,Kidnapping,14
2022,Malicious damage to property,159
2022,Murder,32
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,36
2022,Robbery at non-residential premises,61
2022,Robbery at residential premises,38
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,268
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,12
2022,Shoplifting,11
2022,Stock-theft,2
2022,Street Robbery,83
2022,TRIO crimes,174
2022,Theft of motor vehicle and motorcycle,119
2022,Theft out of or from motor vehicle,107
2022,Truck hijacking,11
2021,Abduction,0
2021,Arson,5
