year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,800
2024,Attempted murder,76
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,41
2024,Burglary at residential premises,255
2024,Carjacking,45
2024,Commercial crime,104
2024,Common assault,292
2024,Common robbery,74
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,39
2024,Drug-related crime,448
2024,Illegal possession of firearms and ammunition,28
2024,Kidnapping,61
2024,Malicious damage to property,234
2024,Murder,41
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,107
2024,Robbery at non-residential premises,41
2024,Robbery at residential premises,80
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,312
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,13
2024,Shoplifting,8
2024,Stock-theft,5
2024,Street Robbery,168
2024,TRIO crimes,166
2024,Theft of motor vehicle and motorcycle,34
2024,Theft out of or from motor vehicle,52
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,678
2023,Attempted murder,39
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,57
2023,Burglary at residential premises,299
2023,Carjacking,54
2023,Commercial crime,138
2023,Common assault,293
2023,Common robbery,71
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,84
2023,Drug-related crime,366
2023,Illegal possession of firearms and ammunition,29
2023,Kidnapping,48
2023,Malicious damage to property,233
2023,Murder,45
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,99
2023,Robbery at non-residential premises,28
2023,Robbery at residential premises,43
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,263
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,13
2023,Shoplifting,8
2023,Stock-theft,2
2023,Street Robbery,135
2023,TRIO crimes,125
2023,Theft of motor vehicle and motorcycle,48
2023,Theft out of or from motor vehicle,62
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,684
2022,Attempted murder,43
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,49
2022,Burglary at residential premises,265
2022,Carjacking,41
2022,Commercial crime,163
2022,Common assault,352
2022,Common robbery,64
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,102
2022,Drug-related crime,354
2022,Illegal possession of firearms and ammunition,19
2022,Kidnapping,28
2022,Malicious damage to property,273
2022,Murder,52
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,117
2022,Robbery at non-residential premises,26
2022,Robbery at residential premises,69
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,270
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,19
2022,Shoplifting,8
2022,Stock-theft,1
2022,Street Robbery,134
2022,TRIO crimes,136
2022,Theft of motor vehicle and motorcycle,63
2022,Theft out of or from motor vehicle,64
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,705
2021,Attempted murder,27
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,79
2021,Burglary at residential premises,377
2021,Carjacking,35
2021,Commercial crime,126
2021,Common assault,336
2021,Common robbery,72
2021,Contact sexual offences,7
2021,Crimen Injuria,5
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,131
2021,Drug-related crime,322
2021,Illegal possession of firearms and ammunition,24
2021,Kidnapping,23
2021,Malicious damage to property,221
2021,Murder,35
2021,Neglect and ill-treatment of children,10
2021,Public violence,2
2021,Rape,114
2021,Robbery at non-residential premises,22
2021,Robbery at residential premises,42
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,276
2021,Sexual Offences detected as a result of police action,1
2021,Sexual assault,8
2021,Shoplifting,6
2021,Stock-theft,2
2021,Street Robbery,176
2021,TRIO crimes,99
2021,Theft of motor vehicle and motorcycle,79
2021,Theft out of or from motor vehicle,100
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,705
2020,Attempted murder,43
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,77
2020,Burglary at residential premises,525
2020,Carjacking,43
2020,Commercial crime,68
2020,Common assault,335
2020,Common robbery,90
2020,Contact sexual offences,2
2020,Crimen Injuria,2
2020,Culpable homicide,4
2020,Driving under the influence of alcohol or drugs,215
2020,Drug-related crime,390
2020,Illegal possession of firearms and ammunition,24
2020,Kidnapping,32
2020,Malicious damage to property,189
2020,Murder,33
2020,Neglect and ill-treatment of children,10
2020,Public violence,2
2020,Rape,123
2020,Robbery at non-residential premises,25
2020,Robbery at residential premises,33
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,290
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,19
2020,Shoplifting,20
2020,Stock-theft,1
2020,Street Robbery,187
2020,TRIO crimes,101
2020,Theft of motor vehicle and motorcycle,70
2020,Theft out of or from motor vehicle,94
2020,Truck hijacking,2
2019,Abduction,0
2019,Arson,11
2019,Assault with the intent to inflict grievous bodily harm,611
2019,Attempted murder,33
2019,Attempted sexual offences,4
2019,Bank robbery,0
2019,Burglary at non-residential premises,78
2019,Burglary at residential premises,439
2019,Carjacking,21
2019,Commercial crime,46
2019,Common assault,390
2019,Common robbery,85
2019,Contact sexual offences,0
2019,Crimen Injuria,5
2019,Culpable homicide,12
2019,Driving under the influence of alcohol or drugs,130
2019,Drug-related crime,339
2019,Illegal possession of firearms and ammunition,39
2019,Kidnapping,24
2019,Malicious damage to property,218
2019,Murder,43
2019,Neglect and ill-treatment of children,7
2019,Public violence,3
2019,Rape,107
2019,Robbery at non-residential premises,39
2019,Robbery at residential premises,52
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,265
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,19
2019,Shoplifting,14
2019,Stock-theft,1
2019,Street Robbery,153
2019,TRIO crimes,112
2019,Theft of motor vehicle and motorcycle,55
2019,Theft out of or from motor vehicle,84
2019,Truck hijacking,0
2018,Abduction,1
2018,Arson,8
2018,Assault with the intent to inflict grievous bodily harm,600
2018,Attempted murder,36
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,64
2018,Burglary at residential premises,443
2018,Carjacking,22
2018,Commercial crime,38
2018,Common assault,248
2018,Common robbery,60
2018,Contact sexual offences,1
2018,Crimen Injuria,7
2018,Culpable homicide,6
2018,Driving under the influence of alcohol or drugs,119
2018,Drug-related crime,380
2018,Illegal possession of firearms and ammunition,42
2018,Kidnapping,8
2018,Malicious damage to property,145
2018,Murder,28
2018,Neglect and ill-treatment of children,3
2018,Public violence,3
2018,Rape,101
2018,Robbery at non-residential premises,51
2018,Robbery at residential premises,45
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,294
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,15
2018,Shoplifting,3
2018,Stock-theft,3
2018,Street Robbery,173
2018,TRIO crimes,118
2018,Theft of motor vehicle and motorcycle,108
2018,Theft out of or from motor vehicle,80
2018,Truck hijacking,3
2017,Abduction,0
2017,Arson,17
2017,Assault with the intent to inflict grievous bodily harm,588
2017,Attempted murder,43
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,74
2017,Burglary at residential premises,485
