year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,270
2024,Attempted murder,60
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,171
2024,Burglary at residential premises,196
2024,Carjacking,150
2024,Commercial crime,427
2024,Common assault,416
2024,Common robbery,123
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,496
2024,Drug-related crime,769
2024,Illegal possession of firearms and ammunition,119
2024,Kidnapping,130
2024,Malicious damage to property,174
2024,Murder,100
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,91
2024,Robbery at non-residential premises,100
2024,Robbery at residential premises,53
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,531
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,13
2024,Shoplifting,180
2024,Stock-theft,0
2024,Street Robbery,326
2024,TRIO crimes,303
2024,Theft of motor vehicle and motorcycle,224
2024,Theft out of or from motor vehicle,248
2024,Truck hijacking,23
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,183
2023,Attempted murder,78
2023,Attempted sexual offences,6
2023,Bank robbery,0
2023,Burglary at non-residential premises,149
2023,Burglary at residential premises,173
2023,Carjacking,156
2023,Commercial crime,400
2023,Common assault,406
2023,Common robbery,129
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,397
2023,Drug-related crime,689
2023,Illegal possession of firearms and ammunition,114
2023,Kidnapping,116
2023,Malicious damage to property,205
2023,Murder,95
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,79
2023,Robbery at non-residential premises,111
2023,Robbery at residential premises,34
2023,Robbery of cash in transit,3
2023,Robbery with aggravating circumstances,634
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,178
2023,Stock-theft,0
2023,Street Robbery,298
2023,TRIO crimes,301
2023,Theft of motor vehicle and motorcycle,215
2023,Theft out of or from motor vehicle,357
2023,Truck hijacking,32
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,219
2022,Attempted murder,80
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,171
2022,Burglary at residential premises,135
2022,Carjacking,138
2022,Commercial crime,421
2022,Common assault,378
2022,Common robbery,141
2022,Contact sexual offences,7
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,830
2022,Drug-related crime,566
2022,Illegal possession of firearms and ammunition,115
2022,Kidnapping,20
2022,Malicious damage to property,227
2022,Murder,82
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,57
2022,Robbery at non-residential premises,119
2022,Robbery at residential premises,47
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,576
2022,Sexual Offences detected as a result of police action,1
2022,Sexual assault,21
2022,Shoplifting,154
2022,Stock-theft,0
2022,Street Robbery,240
2022,TRIO crimes,304
2022,Theft of motor vehicle and motorcycle,189
2022,Theft out of or from motor vehicle,397
2022,Truck hijacking,32
2021,Abduction,0
2021,Arson,4
