year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,230
2024,Attempted murder,32
2024,Attempted sexual offences,5
2024,Bank robbery,0
2024,Burglary at non-residential premises,217
2024,Burglary at residential premises,297
2024,Carjacking,151
2024,Commercial crime,1002
2024,Common assault,483
2024,Common robbery,203
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,293
2024,Drug-related crime,385
2024,Illegal possession of firearms and ammunition,51
2024,Kidnapping,158
2024,Malicious damage to property,189
2024,Murder,28
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,56
2024,Robbery at non-residential premises,132
2024,Robbery at residential premises,58
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,778
2024,Sexual Offences detected as a result of police action,14
2024,Sexual assault,18
2024,Shoplifting,234
2024,Stock-theft,1
2024,Street Robbery,382
2024,TRIO crimes,341
2024,Theft of motor vehicle and motorcycle,332
2024,Theft out of or from motor vehicle,757
2024,Truck hijacking,39
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,214
2023,Attempted murder,43
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,248
2023,Burglary at residential premises,287
2023,Carjacking,176
2023,Commercial crime,856
2023,Common assault,433
2023,Common robbery,240
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,292
2023,Drug-related crime,301
2023,Illegal possession of firearms and ammunition,56
2023,Kidnapping,164
2023,Malicious damage to property,198
2023,Murder,27
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,47
2023,Robbery at non-residential premises,128
2023,Robbery at residential premises,43
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,863
2023,Sexual Offences detected as a result of police action,7
2023,Sexual assault,25
2023,Shoplifting,274
2023,Stock-theft,0
2023,Street Robbery,468
2023,TRIO crimes,347
2023,Theft of motor vehicle and motorcycle,314
2023,Theft out of or from motor vehicle,685
