year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,60
2024,Attempted murder,15
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,36
2024,Burglary at residential premises,449
2024,Carjacking,127
2024,Commercial crime,544
2024,Common assault,243
2024,Common robbery,83
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,276
2024,Drug-related crime,100
2024,Illegal possession of firearms and ammunition,23
2024,Kidnapping,22
2024,Malicious damage to property,122
2024,Murder,19
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,32
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,69
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,391
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,10
2024,Shoplifting,152
2024,Stock-theft,0
2024,Street Robbery,225
2024,TRIO crimes,220
2024,Theft of motor vehicle and motorcycle,152
2024,Theft out of or from motor vehicle,134
2024,Truck hijacking,5
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,45
2023,Attempted murder,25
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,52
2023,Burglary at residential premises,415
2023,Carjacking,120
2023,Commercial crime,504
2023,Common assault,283
2023,Common robbery,104
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,206
2023,Drug-related crime,106
2023,Illegal possession of firearms and ammunition,24
2023,Kidnapping,18
2023,Malicious damage to property,134
2023,Murder,12
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,32
2023,Robbery at non-residential premises,48
2023,Robbery at residential premises,52
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,453
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,17
2023,Shoplifting,161
2023,Stock-theft,0
2023,Street Robbery,232
2023,TRIO crimes,220
2023,Theft of motor vehicle and motorcycle,204
