year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,82
2024,Attempted murder,31
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,57
2024,Burglary at residential premises,84
2024,Carjacking,59
2024,Commercial crime,218
2024,Common assault,136
2024,Common robbery,40
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,203
2024,Drug-related crime,12
2024,Illegal possession of firearms and ammunition,11
2024,Kidnapping,50
2024,Malicious damage to property,62
2024,Murder,14
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,28
2024,Robbery at non-residential premises,31
2024,Robbery at residential premises,8
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,285
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,5
2024,Shoplifting,22
2024,Stock-theft,8
2024,Street Robbery,118
2024,TRIO crimes,98
2024,Theft of motor vehicle and motorcycle,37
2024,Theft out of or from motor vehicle,135
2024,Truck hijacking,19
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,75
2023,Attempted murder,30
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,64
2023,Burglary at residential premises,66
2023,Carjacking,69
2023,Commercial crime,235
2023,Common assault,95
2023,Common robbery,37
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,144
2023,Drug-related crime,6
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,47
2023,Malicious damage to property,71
2023,Murder,24
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,24
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,312
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,3
2023,Shoplifting,12
2023,Stock-theft,1
2023,Street Robbery,170
2023,TRIO crimes,115
2023,Theft of motor vehicle and motorcycle,41
2023,Theft out of or from motor vehicle,118
2023,Truck hijacking,27
2022,Abduction,0
2022,Arson,2
2022,Assault with the intent to inflict grievous bodily harm,93
2022,Attempted murder,24
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,59
2022,Burglary at residential premises,57
2022,Carjacking,64
2022,Commercial crime,217
2022,Common assault,99
2022,Common robbery,33
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,111
2022,Drug-related crime,5
2022,Illegal possession of firearms and ammunition,11
2022,Kidnapping,13
2022,Malicious damage to property,126
2022,Murder,11
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,14
2022,Robbery at non-residential premises,29
