year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,178
2024,Attempted murder,43
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,68
2024,Burglary at residential premises,249
2024,Carjacking,78
2024,Commercial crime,184
2024,Common assault,146
2024,Common robbery,31
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,118
2024,Drug-related crime,334
2024,Illegal possession of firearms and ammunition,41
2024,Kidnapping,31
2024,Malicious damage to property,112
2024,Murder,127
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,54
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,69
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,257
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,39
2024,Stock-theft,0
2024,Street Robbery,178
2024,TRIO crimes,174
2024,Theft of motor vehicle and motorcycle,158
2024,Theft out of or from motor vehicle,96
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,0
2023,Assault with the intent to inflict grievous bodily harm,182
2023,Attempted murder,32
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,66
2023,Burglary at residential premises,303
2023,Carjacking,55
2023,Commercial crime,163
2023,Common assault,147
2023,Common robbery,54
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,81
2023,Drug-related crime,259
2023,Illegal possession of firearms and ammunition,30
2023,Kidnapping,18
2023,Malicious damage to property,139
2023,Murder,85
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,52
2023,Robbery at non-residential premises,52
2023,Robbery at residential premises,55
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,240
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,29
2023,Stock-theft,0
2023,Street Robbery,76
2023,TRIO crimes,162
2023,Theft of motor vehicle and motorcycle,155
2023,Theft out of or from motor vehicle,109
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,144
2022,Attempted murder,20
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,60
2022,Burglary at residential premises,204
2022,Carjacking,31
2022,Commercial crime,121
2022,Common assault,117
2022,Common robbery,38
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,126
2022,Drug-related crime,203
2022,Illegal possession of firearms and ammunition,27
2022,Kidnapping,9
2022,Malicious damage to property,148
2022,Murder,62
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,52
2022,Robbery at non-residential premises,33
2022,Robbery at residential premises,28
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,184
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,15
2022,Shoplifting,11
2022,Stock-theft,0
2022,Street Robbery,84
2022,TRIO crimes,92
2022,Theft of motor vehicle and motorcycle,162
2022,Theft out of or from motor vehicle,89
2022,Truck hijacking,8
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,187
2021,Attempted murder,24
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,86
2021,Burglary at residential premises,208
2021,Carjacking,34
2021,Commercial crime,103
2021,Common assault,145
2021,Common robbery,42
2021,Contact sexual offences,1
2021,Crimen Injuria,12
2021,Culpable homicide,10
2021,Driving under the influence of alcohol or drugs,163
2021,Drug-related crime,160
2021,Illegal possession of firearms and ammunition,16
2021,Kidnapping,3
2021,Malicious damage to property,124
2021,Murder,52
2021,Neglect and ill-treatment of children,2
2021,Public violence,0
2021,Rape,38
2021,Robbery at non-residential premises,45
2021,Robbery at residential premises,25
