year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,365
2024,Attempted murder,30
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,35
2024,Burglary at residential premises,144
2024,Carjacking,39
2024,Commercial crime,73
2024,Common assault,132
2024,Common robbery,31
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,59
2024,Drug-related crime,121
2024,Illegal possession of firearms and ammunition,10
2024,Kidnapping,12
2024,Malicious damage to property,141
2024,Murder,34
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,54
2024,Robbery at non-residential premises,32
2024,Robbery at residential premises,58
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,207
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,6
2024,Shoplifting,101
2024,Stock-theft,10
2024,Street Robbery,129
2024,TRIO crimes,129
2024,Theft of motor vehicle and motorcycle,22
2024,Theft out of or from motor vehicle,28
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,314
2023,Attempted murder,26
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,42
2023,Burglary at residential premises,176
2023,Carjacking,34
2023,Commercial crime,60
2023,Common assault,196
2023,Common robbery,29
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,56
2023,Drug-related crime,135
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,26
2023,Malicious damage to property,131
2023,Murder,36
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,73
2023,Robbery at non-residential premises,39
2023,Robbery at residential premises,58
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,221
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,9
2023,Shoplifting,102
2023,Stock-theft,5
2023,Street Robbery,89
2023,TRIO crimes,131
2023,Theft of motor vehicle and motorcycle,54
