year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,149
2024,Attempted murder,34
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,11
2024,Burglary at residential premises,57
2024,Carjacking,8
2024,Commercial crime,44
2024,Common assault,101
2024,Common robbery,8
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,76
2024,Drug-related crime,237
2024,Illegal possession of firearms and ammunition,46
2024,Kidnapping,2
2024,Malicious damage to property,86
2024,Murder,44
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,48
2024,Robbery at non-residential premises,12
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,92
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,8
2024,Shoplifting,1
2024,Stock-theft,1
2024,Street Robbery,38
2024,TRIO crimes,36
2024,Theft of motor vehicle and motorcycle,17
2024,Theft out of or from motor vehicle,29
2024,Truck hijacking,2
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,238
2023,Attempted murder,56
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,27
2023,Burglary at residential premises,106
2023,Carjacking,14
2023,Commercial crime,49
2023,Common assault,143
2023,Common robbery,26
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,64
2023,Drug-related crime,189
2023,Illegal possession of firearms and ammunition,20
2023,Kidnapping,5
2023,Malicious damage to property,159
2023,Murder,47
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,57
2023,Robbery at non-residential premises,23
2023,Robbery at residential premises,9
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,101
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,7
2023,Shoplifting,4
2023,Stock-theft,1
2023,Street Robbery,51
2023,TRIO crimes,46
2023,Theft of motor vehicle and motorcycle,10
2023,Theft out of or from motor vehicle,51
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,268
2022,Attempted murder,41
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,22
2022,Burglary at residential premises,74
2022,Carjacking,22
2022,Commercial crime,48
2022,Common assault,187
2022,Common robbery,34
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,43
2022,Drug-related crime,123
2022,Illegal possession of firearms and ammunition,27
2022,Kidnapping,12
2022,Malicious damage to property,197
2022,Murder,28
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,50
2022,Robbery at non-residential premises,10
