year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,879
2024,Attempted murder,148
2024,Attempted sexual offences,6
2024,Bank robbery,0
2024,Burglary at non-residential premises,109
2024,Burglary at residential premises,379
2024,Carjacking,209
2024,Commercial crime,367
2024,Common assault,953
2024,Common robbery,225
2024,Contact sexual offences,3
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,461
2024,Drug-related crime,644
2024,Illegal possession of firearms and ammunition,56
2024,Kidnapping,196
2024,Malicious damage to property,474
2024,Murder,113
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,168
2024,Robbery at non-residential premises,63
2024,Robbery at residential premises,275
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,1080
2024,Sexual Offences detected as a result of police action,4
2024,Sexual assault,24
2024,Shoplifting,151
2024,Stock-theft,1
2024,Street Robbery,549
2024,TRIO crimes,547
2024,Theft of motor vehicle and motorcycle,181
2024,Theft out of or from motor vehicle,204
2024,Truck hijacking,1
2023,Abduction,0
2023,Arson,9
2023,Assault with the intent to inflict grievous bodily harm,859
2023,Attempted murder,157
2023,Attempted sexual offences,7
2023,Bank robbery,0
2023,Burglary at non-residential premises,103
2023,Burglary at residential premises,368
2023,Carjacking,210
2023,Commercial crime,350
2023,Common assault,1056
2023,Common robbery,249
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,332
2023,Drug-related crime,407
2023,Illegal possession of firearms and ammunition,63
2023,Kidnapping,153
2023,Malicious damage to property,542
2023,Murder,120
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,173
2023,Robbery at non-residential premises,76
2023,Robbery at residential premises,207
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,1004
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,32
2023,Shoplifting,152
2023,Stock-theft,1
2023,Street Robbery,505
2023,TRIO crimes,493
2023,Theft of motor vehicle and motorcycle,244
2023,Theft out of or from motor vehicle,161
2023,Truck hijacking,5
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,728
2022,Attempted murder,176
2022,Attempted sexual offences,7
2022,Bank robbery,0
2022,Burglary at non-residential premises,87
2022,Burglary at residential premises,354
2022,Carjacking,240
2022,Commercial crime,360
2022,Common assault,825
2022,Common robbery,231
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,599
2022,Drug-related crime,353
2022,Illegal possession of firearms and ammunition,55
2022,Kidnapping,114
2022,Malicious damage to property,546
2022,Murder,110
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,153
2022,Robbery at non-residential premises,77
