year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,242
2024,Attempted murder,19
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,23
2024,Burglary at residential premises,74
2024,Carjacking,19
2024,Commercial crime,68
2024,Common assault,212
2024,Common robbery,24
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,83
2024,Drug-related crime,775
2024,Illegal possession of firearms and ammunition,40
2024,Kidnapping,21
2024,Malicious damage to property,83
2024,Murder,80
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,57
2024,Robbery at non-residential premises,15
2024,Robbery at residential premises,14
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,91
2024,Sexual Offences detected as a result of police action,7
2024,Sexual assault,4
2024,Shoplifting,32
2024,Stock-theft,0
2024,Street Robbery,48
2024,TRIO crimes,48
2024,Theft of motor vehicle and motorcycle,25
2024,Theft out of or from motor vehicle,9
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,10
2023,Assault with the intent to inflict grievous bodily harm,204
2023,Attempted murder,35
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,47
2023,Burglary at residential premises,72
2023,Carjacking,36
2023,Commercial crime,53
2023,Common assault,205
2023,Common robbery,25
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,153
2023,Drug-related crime,704
2023,Illegal possession of firearms and ammunition,31
2023,Kidnapping,24
2023,Malicious damage to property,118
2023,Murder,67
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,62
2023,Robbery at non-residential premises,18
2023,Robbery at residential premises,12
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,120
2023,Sexual Offences detected as a result of police action,9
2023,Sexual assault,9
2023,Shoplifting,35
2023,Stock-theft,1
2023,Street Robbery,54
2023,TRIO crimes,66
2023,Theft of motor vehicle and motorcycle,22
2023,Theft out of or from motor vehicle,14
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,249
2022,Attempted murder,35
2022,Attempted sexual offences,6
2022,Bank robbery,0
2022,Burglary at non-residential premises,93
2022,Burglary at residential premises,90
2022,Carjacking,27
2022,Commercial crime,55
2022,Common assault,229
2022,Common robbery,22
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,229
2022,Drug-related crime,558
2022,Illegal possession of firearms and ammunition,23
2022,Kidnapping,16
2022,Malicious damage to property,120
2022,Murder,62
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,74
2022,Robbery at non-residential premises,16
2022,Robbery at residential premises,14
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,128
2022,Sexual Offences detected as a result of police action,8
2022,Sexual assault,10
2022,Shoplifting,16
2022,Stock-theft,0
2022,Street Robbery,70
2022,TRIO crimes,57
2022,Theft of motor vehicle and motorcycle,27
2022,Theft out of or from motor vehicle,19
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,5
2021,Assault with the intent to inflict grievous bodily harm,189
2021,Attempted murder,23
2021,Attempted sexual offences,7
2021,Bank robbery,0
2021,Burglary at non-residential premises,43
2021,Burglary at residential premises,90
2021,Carjacking,15
2021,Commercial crime,55
2021,Common assault,223
2021,Common robbery,33
2021,Contact sexual offences,3
2021,Crimen Injuria,14
2021,Culpable homicide,5
2021,Driving under the influence of alcohol or drugs,260
2021,Drug-related crime,529
2021,Illegal possession of firearms and ammunition,51
2021,Kidnapping,6
2021,Malicious damage to property,121
2021,Murder,41
2021,Neglect and ill-treatment of children,4
2021,Public violence,9
2021,Rape,69
2021,Robbery at non-residential premises,22
2021,Robbery at residential premises,14
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,114
2021,Sexual Offences detected as a result of police action,6
2021,Sexual assault,4
2021,Shoplifting,27
2021,Stock-theft,0
2021,Street Robbery,62
2021,TRIO crimes,51
2021,Theft of motor vehicle and motorcycle,31
2021,Theft out of or from motor vehicle,30
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,254
2020,Attempted murder,30
2020,Attempted sexual offences,8
2020,Bank robbery,0
2020,Burglary at non-residential premises,56
2020,Burglary at residential premises,127
2020,Carjacking,22
2020,Commercial crime,45
2020,Common assault,241
2020,Common robbery,21
2020,Contact sexual offences,4
2020,Crimen Injuria,8
2020,Culpable homicide,6
2020,Driving under the influence of alcohol or drugs,246
2020,Drug-related crime,492
2020,Illegal possession of firearms and ammunition,51
