year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,698
2024,Attempted murder,78
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,82
2024,Burglary at residential premises,471
2024,Carjacking,99
2024,Commercial crime,339
2024,Common assault,474
2024,Common robbery,87
2024,Contact sexual offences,2
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,343
2024,Drug-related crime,662
2024,Illegal possession of firearms and ammunition,49
2024,Kidnapping,48
2024,Malicious damage to property,362
2024,Murder,92
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,159
2024,Robbery at non-residential premises,73
2024,Robbery at residential premises,56
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,389
2024,Sexual Offences detected as a result of police action,2
2024,Sexual assault,30
2024,Shoplifting,227
2024,Stock-theft,2
2024,Street Robbery,232
2024,TRIO crimes,228
2024,Theft of motor vehicle and motorcycle,117
2024,Theft out of or from motor vehicle,78
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,731
2023,Attempted murder,85
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,77
2023,Burglary at residential premises,524
2023,Carjacking,160
2023,Commercial crime,253
2023,Common assault,448
2023,Common robbery,74
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,267
2023,Drug-related crime,564
2023,Illegal possession of firearms and ammunition,41
2023,Kidnapping,67
2023,Malicious damage to property,436
2023,Murder,86
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,164
2023,Robbery at non-residential premises,47
2023,Robbery at residential premises,63
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,482
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,32
2023,Shoplifting,205
2023,Stock-theft,11
2023,Street Robbery,206
2023,TRIO crimes,270
2023,Theft of motor vehicle and motorcycle,93
2023,Theft out of or from motor vehicle,80
2023,Truck hijacking,5
2022,Abduction,0
2022,Arson,9
2022,Assault with the intent to inflict grievous bodily harm,658
2022,Attempted murder,50
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,84
2022,Burglary at residential premises,441
2022,Carjacking,171
2022,Commercial crime,266
2022,Common assault,409
2022,Common robbery,87
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,-1
2022,Driving under the influence of alcohol or drugs,218
2022,Drug-related crime,406
2022,Illegal possession of firearms and ammunition,32
2022,Kidnapping,44
2022,Malicious damage to property,362
2022,Murder,68
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,167
2022,Robbery at non-residential premises,40
2022,Robbery at residential premises,44
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,435
2022,Sexual Offences detected as a result of police action,3
2022,Sexual assault,25
2022,Shoplifting,123
2022,Stock-theft,4
2022,Street Robbery,173
2022,TRIO crimes,255
2022,Theft of motor vehicle and motorcycle,109
2022,Theft out of or from motor vehicle,62
2022,Truck hijacking,6
2021,Abduction,0
2021,Arson,8
2021,Assault with the intent to inflict grievous bodily harm,506
2021,Attempted murder,52
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,88
2021,Burglary at residential premises,486
2021,Carjacking,127
2021,Commercial crime,213
2021,Common assault,338
2021,Common robbery,80
2021,Contact sexual offences,1
2021,Crimen Injuria,2
2021,Culpable homicide,15
2021,Driving under the influence of alcohol or drugs,229
2021,Drug-related crime,503
2021,Illegal possession of firearms and ammunition,55
2021,Kidnapping,15
2021,Malicious damage to property,266
2021,Murder,46
2021,Neglect and ill-treatment of children,8
2021,Public violence,4
2021,Rape,128
2021,Robbery at non-residential premises,65
