year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,481
2024,Attempted murder,137
2024,Attempted sexual offences,10
2024,Bank robbery,0
2024,Burglary at non-residential premises,54
2024,Burglary at residential premises,244
2024,Carjacking,127
2024,Commercial crime,348
2024,Common assault,676
2024,Common robbery,86
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,464
2024,Drug-related crime,570
2024,Illegal possession of firearms and ammunition,67
2024,Kidnapping,191
2024,Malicious damage to property,284
2024,Murder,93
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,119
2024,Robbery at non-residential premises,62
2024,Robbery at residential premises,94
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,545
2024,Sexual Offences detected as a result of police action,1
2024,Sexual assault,14
2024,Shoplifting,201
2024,Stock-theft,2
2024,Street Robbery,292
2024,TRIO crimes,283
2024,Theft of motor vehicle and motorcycle,54
2024,Theft out of or from motor vehicle,87
2024,Truck hijacking,9
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,488
2023,Attempted murder,105
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,46
2023,Burglary at residential premises,264
2023,Carjacking,173
2023,Commercial crime,321
2023,Common assault,632
2023,Common robbery,108
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,428
2023,Drug-related crime,511
2023,Illegal possession of firearms and ammunition,46
2023,Kidnapping,236
2023,Malicious damage to property,326
2023,Murder,84
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,107
2023,Robbery at non-residential premises,38
2023,Robbery at residential premises,68
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,539
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,16
2023,Shoplifting,168
2023,Stock-theft,0
2023,Street Robbery,250
2023,TRIO crimes,279
2023,Theft of motor vehicle and motorcycle,47
2023,Theft out of or from motor vehicle,90
2023,Truck hijacking,9
2022,Abduction,0
2022,Arson,8
2022,Assault with the intent to inflict grievous bodily harm,398
2022,Attempted murder,80
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,77
2022,Burglary at residential premises,254
2022,Carjacking,135
2022,Commercial crime,289
2022,Common assault,572
2022,Common robbery,113
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,367
2022,Drug-related crime,277
2022,Illegal possession of firearms and ammunition,47
2022,Kidnapping,95
2022,Malicious damage to property,302
2022,Murder,70
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,86
2022,Robbery at non-residential premises,72
2022,Robbery at residential premises,41
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,424
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,22
2022,Shoplifting,159
2022,Stock-theft,0
2022,Street Robbery,173
2022,TRIO crimes,248
2022,Theft of motor vehicle and motorcycle,52
2022,Theft out of or from motor vehicle,110
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,4
2021,Assault with the intent to inflict grievous bodily harm,295
2021,Attempted murder,69
2021,Attempted sexual offences,3
2021,Bank robbery,0
2021,Burglary at non-residential premises,122
2021,Burglary at residential premises,386
2021,Carjacking,106
2021,Commercial crime,291
2021,Common assault,540
2021,Common robbery,73
2021,Contact sexual offences,4
2021,Crimen Injuria,15
2021,Culpable homicide,14
2021,Driving under the influence of alcohol or drugs,330
2021,Drug-related crime,177
2021,Illegal possession of firearms and ammunition,48
2021,Kidnapping,32
2021,Malicious damage to property,281
2021,Murder,44
2021,Neglect and ill-treatment of children,7
2021,Public violence,5
2021,Rape,82
2021,Robbery at non-residential premises,73
2021,Robbery at residential premises,65
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,410
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,17
2021,Shoplifting,170
2021,Stock-theft,0
2021,Street Robbery,154
2021,TRIO crimes,244
2021,Theft of motor vehicle and motorcycle,76
2021,Theft out of or from motor vehicle,137
2021,Truck hijacking,12
2020,Abduction,0
2020,Arson,8
2020,Assault with the intent to inflict grievous bodily harm,370
2020,Attempted murder,71
2020,Attempted sexual offences,5
2020,Bank robbery,0
2020,Burglary at non-residential premises,102
2020,Burglary at residential premises,508
2020,Carjacking,147
2020,Commercial crime,319
2020,Common assault,633
2020,Common robbery,100
2020,Contact sexual offences,4
2020,Crimen Injuria,22
2020,Culpable homicide,13
2020,Driving under the influence of alcohol or drugs,541
2020,Drug-related crime,168
2020,Illegal possession of firearms and ammunition,48
