year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,163
2024,Attempted murder,27
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,22
2024,Burglary at residential premises,71
2024,Carjacking,33
2024,Commercial crime,21
2024,Common assault,134
2024,Common robbery,8
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,45
2024,Drug-related crime,69
2024,Illegal possession of firearms and ammunition,17
2024,Kidnapping,17
2024,Malicious damage to property,71
2024,Murder,36
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,35
2024,Robbery at non-residential premises,14
2024,Robbery at residential premises,18
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,125
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,0
2024,Stock-theft,6
2024,Street Robbery,78
2024,TRIO crimes,65
2024,Theft of motor vehicle and motorcycle,4
2024,Theft out of or from motor vehicle,9
2024,Truck hijacking,13
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,195
2023,Attempted murder,18
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,11
2023,Burglary at residential premises,60
2023,Carjacking,43
2023,Commercial crime,14
2023,Common assault,116
2023,Common robbery,21
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,33
2023,Drug-related crime,41
2023,Illegal possession of firearms and ammunition,6
2023,Kidnapping,28
2023,Malicious damage to property,73
2023,Murder,27
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,32
2023,Robbery at non-residential premises,14
2023,Robbery at residential premises,11
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,130
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,8
2023,Shoplifting,1
2023,Stock-theft,5
2023,Street Robbery,47
2023,TRIO crimes,68
2023,Theft of motor vehicle and motorcycle,10
2023,Theft out of or from motor vehicle,16
