year,category,value
2024,Abduction,0
2024,Arson,6
2024,Assault with the intent to inflict grievous bodily harm,466
2024,Attempted murder,90
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,82
2024,Burglary at residential premises,288
2024,Carjacking,143
2024,Commercial crime,159
2024,Common assault,411
2024,Common robbery,73
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,281
2024,Drug-related crime,706
2024,Illegal possession of firearms and ammunition,52
2024,Kidnapping,165
2024,Malicious damage to property,223
2024,Murder,86
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,94
2024,Robbery at non-residential premises,87
2024,Robbery at residential premises,99
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,508
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Shoplifting,479
2024,Stock-theft,5
2024,Street Robbery,329
2024,TRIO crimes,329
2024,Theft of motor vehicle and motorcycle,39
2024,Theft out of or from motor vehicle,71
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,4
2023,Assault with the intent to inflict grievous bodily harm,430
2023,Attempted murder,76
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,125
2023,Burglary at residential premises,314
2023,Carjacking,182
2023,Commercial crime,114
2023,Common assault,277
2023,Common robbery,54
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,158
2023,Drug-related crime,633
2023,Illegal possession of firearms and ammunition,34
2023,Kidnapping,158
2023,Malicious damage to property,205
2023,Murder,102
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,128
2023,Robbery at non-residential premises,82
2023,Robbery at residential premises,80
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,545
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,4
2023,Shoplifting,378
2023,Stock-theft,7
2023,Street Robbery,199
2023,TRIO crimes,344
2023,Theft of motor vehicle and motorcycle,68
2023,Theft out of or from motor vehicle,83
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,5
2022,Assault with the intent to inflict grievous bodily harm,481
2022,Attempted murder,78
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,186
2022,Burglary at residential premises,345
2022,Carjacking,140
2022,Commercial crime,124
2022,Common assault,413
2022,Common robbery,56
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,136
2022,Drug-related crime,474
2022,Illegal possession of firearms and ammunition,56
2022,Kidnapping,77
2022,Malicious damage to property,283
2022,Murder,104
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,111
2022,Robbery at non-residential premises,63
2022,Robbery at residential premises,79
2022,Robbery of cash in transit,1
2022,Robbery with aggravating circumstances,486
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,10
2022,Shoplifting,221
2022,Stock-theft,3
2022,Street Robbery,202
2022,TRIO crimes,282
2022,Theft of motor vehicle and motorcycle,68
2022,Theft out of or from motor vehicle,100
2022,Truck hijacking,1
2021,Abduction,0
2021,Arson,10
2021,Assault with the intent to inflict grievous bodily harm,530
2021,Attempted murder,65
2021,Attempted sexual offences,4
2021,Bank robbery,0
2021,Burglary at non-residential premises,191
2021,Burglary at residential premises,381
2021,Carjacking,128
2021,Commercial crime,173
2021,Common assault,361
2021,Common robbery,77
2021,Contact sexual offences,3
2021,Crimen Injuria,1
2021,Culpable homicide,9
2021,Driving under the influence of alcohol or drugs,101
2021,Drug-related crime,356
2021,Illegal possession of firearms and ammunition,38
2021,Kidnapping,22
2021,Malicious damage to property,315
2021,Murder,75
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,95
2021,Robbery at non-residential premises,59
2021,Robbery at residential premises,117
2021,Robbery of cash in transit,1
2021,Robbery with aggravating circumstances,507
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,10
2021,Shoplifting,240
2021,Stock-theft,1
2021,Street Robbery,201
2021,TRIO crimes,304
2021,Theft of motor vehicle and motorcycle,88
2021,Theft out of or from motor vehicle,99
2021,Truck hijacking,1
2020,Abduction,0
2020,Arson,10
2020,Assault with the intent to inflict grievous bodily harm,597
2020,Attempted murder,56
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,224
2020,Burglary at residential premises,600
2020,Carjacking,115
2020,Commercial crime,149
2020,Common assault,374
2020,Common robbery,113
2020,Contact sexual offences,1
2020,Crimen Injuria,3
2020,Culpable homicide,15
2020,Driving under the influence of alcohol or drugs,154
2020,Drug-related crime,441
2020,Illegal possession of firearms and ammunition,38
2020,Kidnapping,40
2020,Malicious damage to property,272
2020,Murder,84
2020,Neglect and ill-treatment of children,9
2020,Public violence,1
2020,Rape,141
2020,Robbery at non-residential premises,120
2020,Robbery at residential premises,86
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,652
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,8
2020,Shoplifting,391
2020,Stock-theft,7
2020,Street Robbery,328
2020,TRIO crimes,321
2020,Theft of motor vehicle and motorcycle,143
2020,Theft out of or from motor vehicle,179
2020,Truck hijacking,3
2019,Abduction,1
2019,Arson,7
2019,Assault with the intent to inflict grievous bodily harm,556
2019,Attempted murder,73
2019,Attempted sexual offences,7
2019,Bank robbery,0
2019,Burglary at non-residential premises,185
2019,Burglary at residential premises,729
2019,Carjacking,100
2019,Commercial crime,131
2019,Common assault,309
2019,Common robbery,119
2019,Contact sexual offences,1
2019,Crimen Injuria,5
2019,Culpable homicide,18
2019,Driving under the influence of alcohol or drugs,174
2019,Drug-related crime,731
2019,Illegal possession of firearms and ammunition,40
2019,Kidnapping,32
2019,Malicious damage to property,289
2019,Murder,92
2019,Neglect and ill-treatment of children,7
2019,Public violence,1
2019,Rape,107
2019,Robbery at non-residential premises,115
2019,Robbery at residential premises,112
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,608
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,5
2019,Shoplifting,326
2019,Stock-theft,10
2019,Street Robbery,276
2019,TRIO crimes,327
2019,Theft of motor vehicle and motorcycle,132
2019,Theft out of or from motor vehicle,199
2019,Truck hijacking,4
2018,Abduction,1
2018,Arson,9
2018,Assault with the intent to inflict grievous bodily harm,780
2018,Attempted murder,68
2018,Attempted sexual offences,1
2018,Bank robbery,0
2018,Burglary at non-residential premises,177
2018,Burglary at residential premises,752
2018,Carjacking,95
2018,Commercial crime,137
2018,Common assault,230
2018,Common robbery,108
2018,Contact sexual offences,1
2018,Crimen Injuria,2
2018,Culpable homicide,18
2018,Driving under the influence of alcohol or drugs,192
2018,Drug-related crime,1148
2018,Illegal possession of firearms and ammunition,73
2018,Kidnapping,28
2018,Malicious damage to property,326
2018,Murder,86
2018,Neglect and ill-treatment of children,3
2018,Public violence,8
2018,Rape,118
2018,Robbery at non-residential premises,138
2018,Robbery at residential premises,100
2018,Robbery of cash in transit,4
2018,Robbery with aggravating circumstances,596
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,11
2018,Shoplifting,398
2018,Stock-theft,2
2018,Street Robbery,257
2018,TRIO crimes,333
2018,Theft of motor vehicle and motorcycle,172
2018,Theft out of or from motor vehicle,139
2018,Truck hijacking,2
2017,Abduction,2
2017,Arson,9
2017,Assault with the intent to inflict grievous bodily harm,669
2017,Attempted murder,97
2017,Attempted sexual offences,3
2017,Bank robbery,0
2017,Burglary at non-residential premises,175
2017,Burglary at residential premises,712
2017,Carjacking,86
2017,Commercial crime,94
2017,Common assault,227
2017,Common robbery,123
2017,Contact sexual offences,2
2017,Crimen Injuria,2
2017,Culpable homicide,29
2017,Driving under the influence of alcohol or drugs,170
2017,Drug-related crime,1020
2017,Illegal possession of firearms and ammunition,63
2017,Kidnapping,27
2017,Malicious damage to property,349
2017,Murder,90
2017,Neglect and ill-treatment of children,0
2017,Public violence,27
2017,Rape,125
2017,Robbery at non-residential premises,170
2017,Robbery at residential premises,95
2017,Robbery of cash in transit,2
2017,Robbery with aggravating circumstances,629
2017,Sexual Offences detected as a result of police action,0
2017,Sexual assault,8
2017,Shoplifting,322
2017,Stock-theft,11
2017,Street Robbery,275
2017,TRIO crimes,351
2017,Theft of motor vehicle and motorcycle,192
2017,Theft out of or from motor vehicle,209
2017,Truck hijacking,1
2016,Arson,19
2016,Assault with the intent to inflict grievous bodily harm,807
2016,Attempted murder,103
2016,Attempted sexual offences,4
2016,Bank robbery,0
2016,Burglary at non-residential premises,123
2016,Burglary at residential premises,642
2016,Carjacking,74
2016,Commercial crime,108
2016,Common assault,233
2016,Common robbery,131
2016,Contact sexual offences,2
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,292
2016,Drug-related crime,1009
2016,Illegal possession of firearms and ammunition,45
2016,Kidnapping,35
2016,Malicious damage to property,335
2016,Murder,69
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,108
2016,Robbery at non-residential premises,131
2016,Robbery at residential premises,103
2016,Robbery of cash in transit,1
2016,Robbery with aggravating circumstances,634
2016,Sexual Offences detected as a result of police action,0
2016,Sexual assault,7
2016,Shoplifting,357
2016,Stock-theft,13
2016,Street Robbery,317
2016,TRIO crimes,308
2016,Theft of motor vehicle and motorcycle,163
2016,Theft out of or from motor vehicle,189
2016,Truck hijacking,8
2015,Arson,20
2015,Assault with the intent to inflict grievous bodily harm,845
2015,Attempted murder,57
2015,Attempted sexual offences,12
2015,Bank robbery,0
2015,Burglary at non-residential premises,143
2015,Burglary at residential premises,741
2015,Carjacking,74
2015,Commercial crime,108
2015,Common assault,290
2015,Common robbery,95
2015,Contact sexual offences,3
2015,Crimen Injuria,3
2015,Culpable homicide,22
2015,Driving under the influence of alcohol or drugs,308
2015,Drug-related crime,1321
2015,Illegal possession of firearms and ammunition,56
2015,Kidnapping,48
2015,Malicious damage to property,382
2015,Murder,82
2015,Neglect and ill-treatment of children,1
2015,Public violence,0
2015,Rape,155
2015,Robbery at non-residential premises,110
2015,Robbery at residential premises,77
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,548
2015,Sexual Offences detected as a result of police action,3
2015,Sexual assault,14
2015,Shoplifting,360
2015,Stock-theft,9
2015,Street Robbery,284
2015,TRIO crimes,261
2015,Theft of motor vehicle and motorcycle,137
2015,Theft out of or from motor vehicle,188
2015,Truck hijacking,3
2014,Arson,18
2014,Assault with the intent to inflict grievous bodily harm,647
2014,Attempted murder,62
2014,Attempted sexual offences,4
2014,Bank robbery,0
2014,Burglary at non-residential premises,149
2014,Burglary at residential premises,719
2014,Carjacking,58
2014,Commercial crime,119
2014,Common assault,314
2014,Common robbery,118
2014,Contact sexual offences,2
2014,Crimen Injuria,11
2014,Culpable homicide,27
2014,Driving under the influence of alcohol or drugs,263
2014,Drug-related crime,1298
2014,Illegal possession of firearms and ammunition,58
2014,Kidnapping,23
2014,Malicious damage to property,303
2014,Murder,48
2014,Neglect and ill-treatment of children,4
2014,Public violence,0
2014,Rape,114
2014,Robbery at non-residential premises,56
2014,Robbery at residential premises,87
2014,Robbery of cash in transit,1
2014,Robbery with aggravating circumstances,428
2014,Sexual Offences detected as a result of police action,0
2014,Sexual assault,10
2014,Shoplifting,333
2014,Stock-theft,8
2014,Street Robbery,226
2014,TRIO crimes,201
2014,Theft of motor vehicle and motorcycle,163
2014,Theft out of or from motor vehicle,228
2014,Truck hijacking,0
2013,Arson,26
2013,Assault with the intent to inflict grievous bodily harm,685
2013,Attempted murder,28
2013,Attempted sexual offences,4
2013,Bank robbery,0
2013,Burglary at non-residential premises,120
2013,Burglary at residential premises,738
2013,Carjacking,40
2013,Commercial crime,165
2013,Common assault,341
2013,Common robbery,135
2013,Contact sexual offences,4
2013,Crimen Injuria,10
2013,Culpable homicide,34
2013,Driving under the influence of alcohol or drugs,266
2013,Drug-related crime,745
2013,Illegal possession of firearms and ammunition,40
2013,Kidnapping,17
2013,Malicious damage to property,271
2013,Murder,59
2013,Neglect and ill-treatment of children,6
2013,Public violence,0
2013,Rape,136
2013,Robbery at non-residential premises,63
2013,Robbery at residential premises,55
2013,Robbery of cash in transit,1
2013,Robbery with aggravating circumstances,342
2013,Sexual Offences detected as a result of police action,1
2013,Sexual assault,5
2013,Shoplifting,329
2013,Stock-theft,7
2013,Street Robbery,183
2013,TRIO crimes,158
2013,Theft of motor vehicle and motorcycle,185
2013,Theft out of or from motor vehicle,173
2013,Truck hijacking,0
2012,Arson,22
2012,Assault with the intent to inflict grievous bodily harm,765
2012,Attempted murder,33
2012,Attempted sexual offences,8
2012,Bank robbery,0
2012,Burglary at non-residential premises,161
2012,Burglary at residential premises,733
2012,Carjacking,22
2012,Commercial crime,167
2012,Common assault,322
2012,Common robbery,168
2012,Contact sexual offences,3
2012,Crimen Injuria,8
2012,Culpable homicide,26
2012,Driving under the influence of alcohol or drugs,146
2012,Drug-related crime,352
2012,Illegal possession of firearms and ammunition,39
2012,Kidnapping,13
2012,Malicious damage to property,252
2012,Murder,62
2012,Neglect and ill-treatment of children,2
2012,Public violence,0
2012,Rape,150
