year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,495
2024,Attempted murder,88
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,67
2024,Burglary at residential premises,250
2024,Carjacking,245
2024,Commercial crime,91
2024,Common assault,309
2024,Common robbery,56
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,200
2024,Drug-related crime,718
2024,Illegal possession of firearms and ammunition,86
2024,Kidnapping,214
2024,Malicious damage to property,205
2024,Murder,150
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,130
2024,Robbery at non-residential premises,58
2024,Robbery at residential premises,93
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,717
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,52
2024,Stock-theft,17
2024,Street Robbery,460
2024,TRIO crimes,396
2024,Theft of motor vehicle and motorcycle,72
2024,Theft out of or from motor vehicle,71
2024,Truck hijacking,63
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,433
2023,Attempted murder,79
2023,Attempted sexual offences,5
2023,Bank robbery,0
2023,Burglary at non-residential premises,101
2023,Burglary at residential premises,237
2023,Carjacking,188
2023,Commercial crime,131
2023,Common assault,242
2023,Common robbery,51
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,194
2023,Drug-related crime,608
2023,Illegal possession of firearms and ammunition,89
2023,Kidnapping,110
2023,Malicious damage to property,214
2023,Murder,164
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,148
2023,Robbery at non-residential premises,68
2023,Robbery at residential premises,86
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,642
2023,Sexual Offences detected as a result of police action,2
2023,Sexual assault,18
2023,Shoplifting,88
2023,Stock-theft,15
2023,Street Robbery,252
2023,TRIO crimes,342
2023,Theft of motor vehicle and motorcycle,53
2023,Theft out of or from motor vehicle,70
2023,Truck hijacking,48
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,520
2022,Attempted murder,70
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,75
2022,Burglary at residential premises,251
2022,Carjacking,205
2022,Commercial crime,133
2022,Common assault,306
2022,Common robbery,52
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,164
2022,Drug-related crime,451
2022,Illegal possession of firearms and ammunition,64
2022,Kidnapping,84
2022,Malicious damage to property,237
2022,Murder,126
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,141
2022,Robbery at non-residential premises,58
