year,category,value
2024,Abduction,0
2024,Arson,4
2024,Assault with the intent to inflict grievous bodily harm,523
2024,Attempted murder,69
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,76
2024,Burglary at residential premises,192
2024,Carjacking,61
2024,Commercial crime,203
2024,Common assault,345
2024,Common robbery,69
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,173
2024,Drug-related crime,453
2024,Illegal possession of firearms and ammunition,36
2024,Kidnapping,72
2024,Malicious damage to property,205
2024,Murder,78
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,86
2024,Robbery at non-residential premises,65
2024,Robbery at residential premises,79
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,371
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,14
2024,Shoplifting,154
2024,Stock-theft,15
2024,Street Robbery,208
2024,TRIO crimes,205
2024,Theft of motor vehicle and motorcycle,44
2024,Theft out of or from motor vehicle,55
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,470
2023,Attempted murder,44
2023,Attempted sexual offences,0
2023,Bank robbery,1
2023,Burglary at non-residential premises,117
2023,Burglary at residential premises,233
2023,Carjacking,87
2023,Commercial crime,150
2023,Common assault,259
2023,Common robbery,39
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,161
2023,Drug-related crime,443
2023,Illegal possession of firearms and ammunition,36
2023,Kidnapping,56
2023,Malicious damage to property,189
2023,Murder,75
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,80
2023,Robbery at non-residential premises,72
2023,Robbery at residential premises,44
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,351
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,12
2023,Shoplifting,137
2023,Stock-theft,15
2023,Street Robbery,143
2023,TRIO crimes,203
2023,Theft of motor vehicle and motorcycle,39
2023,Theft out of or from motor vehicle,53
2023,Truck hijacking,3
2022,Abduction,0
2022,Arson,7
2022,Assault with the intent to inflict grievous bodily harm,481
2022,Attempted murder,47
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,136
2022,Burglary at residential premises,282
2022,Carjacking,77
2022,Commercial crime,155
2022,Common assault,240
2022,Common robbery,42
2022,Contact sexual offences,1
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,227
2022,Drug-related crime,374
2022,Illegal possession of firearms and ammunition,18
2022,Kidnapping,24
2022,Malicious damage to property,188
2022,Murder,86
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,95
2022,Robbery at non-residential premises,59
2022,Robbery at residential premises,21
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,303
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,9
2022,Shoplifting,97
2022,Stock-theft,3
2022,Street Robbery,142
2022,TRIO crimes,157
2022,Theft of motor vehicle and motorcycle,55
2022,Theft out of or from motor vehicle,48
2022,Truck hijacking,4
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,397
2021,Attempted murder,30
2021,Attempted sexual offences,5
2021,Bank robbery,0
2021,Burglary at non-residential premises,162
2021,Burglary at residential premises,244
2021,Carjacking,62
2021,Commercial crime,165
2021,Common assault,203
2021,Common robbery,48
2021,Contact sexual offences,3
2021,Crimen Injuria,2
2021,Culpable homicide,15
2021,Driving under the influence of alcohol or drugs,197
2021,Drug-related crime,321
2021,Illegal possession of firearms and ammunition,16
2021,Kidnapping,13
2021,Malicious damage to property,175
2021,Murder,43
2021,Neglect and ill-treatment of children,2
2021,Public violence,5
2021,Rape,95
2021,Robbery at non-residential premises,51
2021,Robbery at residential premises,36
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,279
2021,Sexual Offences detected as a result of police action,2
2021,Sexual assault,11
2021,Shoplifting,103
2021,Stock-theft,2
2021,Street Robbery,126
2021,TRIO crimes,149
2021,Theft of motor vehicle and motorcycle,95
2021,Theft out of or from motor vehicle,79
2021,Truck hijacking,4
2020,Abduction,0
2020,Arson,2
2020,Assault with the intent to inflict grievous bodily harm,379
2020,Attempted murder,27
2020,Attempted sexual offences,1
2020,Bank robbery,0
2020,Burglary at non-residential premises,155
2020,Burglary at residential premises,354
2020,Carjacking,49
2020,Commercial crime,140
2020,Common assault,242
2020,Common robbery,66
2020,Contact sexual offences,2
2020,Crimen Injuria,2
2020,Culpable homicide,18
2020,Driving under the influence of alcohol or drugs,341
2020,Drug-related crime,242
2020,Illegal possession of firearms and ammunition,16
