year,category,value
2024,Abduction,0
2024,Arson,7
2024,Assault with the intent to inflict grievous bodily harm,441
2024,Attempted murder,51
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,192
2024,Burglary at residential premises,581
2024,Carjacking,66
2024,Commercial crime,377
2024,Common assault,380
2024,Common robbery,106
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,165
2024,Drug-related crime,610
2024,Illegal possession of firearms and ammunition,22
2024,Kidnapping,90
2024,Malicious damage to property,325
2024,Murder,54
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,69
2024,Robbery at non-residential premises,85
2024,Robbery at residential premises,114
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,573
2024,Sexual Offences detected as a result of police action,109
2024,Sexual assault,10
2024,Shoplifting,245
2024,Stock-theft,10
2024,Street Robbery,283
2024,TRIO crimes,265
2024,Theft of motor vehicle and motorcycle,239
2024,Theft out of or from motor vehicle,204
2024,Truck hijacking,18
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,431
2023,Attempted murder,42
2023,Attempted sexual offences,3
2023,Bank robbery,0
2023,Burglary at non-residential premises,219
2023,Burglary at residential premises,727
2023,Carjacking,96
2023,Commercial crime,445
2023,Common assault,313
2023,Common robbery,104
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,108
2023,Drug-related crime,548
2023,Illegal possession of firearms and ammunition,28
2023,Kidnapping,116
2023,Malicious damage to property,303
2023,Murder,46
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,76
2023,Robbery at non-residential premises,50
2023,Robbery at residential premises,86
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,512
2023,Sexual Offences detected as a result of police action,69
2023,Sexual assault,16
2023,Shoplifting,227
2023,Stock-theft,6
2023,Street Robbery,255
2023,TRIO crimes,232
2023,Theft of motor vehicle and motorcycle,182
2023,Theft out of or from motor vehicle,166
2023,Truck hijacking,25
2022,Abduction,0
2022,Arson,6
2022,Assault with the intent to inflict grievous bodily harm,390
2022,Attempted murder,44
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,169
2022,Burglary at residential premises,645
2022,Carjacking,81
2022,Commercial crime,325
2022,Common assault,261
2022,Common robbery,100
2022,Contact sexual offences,11
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,207
2022,Drug-related crime,490
2022,Illegal possession of firearms and ammunition,29
2022,Kidnapping,53
2022,Malicious damage to property,273
2022,Murder,45
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,82
2022,Robbery at non-residential premises,53
2022,Robbery at residential premises,96
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,466
2022,Sexual Offences detected as a result of police action,24
2022,Sexual assault,11
2022,Shoplifting,215
2022,Stock-theft,7
2022,Street Robbery,217
2022,TRIO crimes,230
2022,Theft of motor vehicle and motorcycle,260
2022,Theft out of or from motor vehicle,186
2022,Truck hijacking,19
2021,Abduction,0
2021,Arson,7
2021,Assault with the intent to inflict grievous bodily harm,297
2021,Attempted murder,34
2021,Attempted sexual offences,2
2021,Bank robbery,0
2021,Burglary at non-residential premises,250
2021,Burglary at residential premises,661
2021,Carjacking,70
2021,Commercial crime,205
2021,Common assault,244
2021,Common robbery,79
2021,Contact sexual offences,1
2021,Crimen Injuria,19
2021,Culpable homicide,24
2021,Driving under the influence of alcohol or drugs,249
2021,Drug-related crime,405
2021,Illegal possession of firearms and ammunition,21
2021,Kidnapping,15
2021,Malicious damage to property,269
2021,Murder,31
2021,Neglect and ill-treatment of children,3
2021,Public violence,3
2021,Rape,40
2021,Robbery at non-residential premises,66
2021,Robbery at residential premises,86
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,440
2021,Sexual Offences detected as a result of police action,30
2021,Sexual assault,13
2021,Shoplifting,230
2021,Stock-theft,8
2021,Street Robbery,194
2021,TRIO crimes,222
2021,Theft of motor vehicle and motorcycle,225
2021,Theft out of or from motor vehicle,188
2021,Truck hijacking,22
2020,Abduction,0
2020,Arson,4
2020,Assault with the intent to inflict grievous bodily harm,367
2020,Attempted murder,21
2020,Attempted sexual offences,3
2020,Bank robbery,0
2020,Burglary at non-residential premises,277
2020,Burglary at residential premises,850
2020,Carjacking,57
2020,Commercial crime,205
2020,Common assault,351
2020,Common robbery,115
2020,Contact sexual offences,2
2020,Crimen Injuria,15
2020,Culpable homicide,36
2020,Driving under the influence of alcohol or drugs,363
2020,Drug-related crime,708
2020,Illegal possession of firearms and ammunition,21
2020,Kidnapping,17
2020,Malicious damage to property,296
2020,Murder,34
2020,Neglect and ill-treatment of children,1
2020,Public violence,4
2020,Rape,61
2020,Robbery at non-residential premises,103
2020,Robbery at residential premises,83
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,483
2020,Sexual Offences detected as a result of police action,21
2020,Sexual assault,13
2020,Shoplifting,270
2020,Stock-theft,8
2020,Street Robbery,235
2020,TRIO crimes,243
2020,Theft of motor vehicle and motorcycle,279
2020,Theft out of or from motor vehicle,220
2020,Truck hijacking,5
2019,Abduction,1
2019,Arson,7
2019,Assault with the intent to inflict grievous bodily harm,437
2019,Attempted murder,19
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,290
2019,Burglary at residential premises,998
2019,Carjacking,43
2019,Commercial crime,290
2019,Common assault,376
2019,Common robbery,135
2019,Contact sexual offences,5
2019,Crimen Injuria,36
2019,Culpable homicide,36
2019,Driving under the influence of alcohol or drugs,330
2019,Drug-related crime,616
2019,Illegal possession of firearms and ammunition,14
2019,Kidnapping,23
2019,Malicious damage to property,338
2019,Murder,32
2019,Neglect and ill-treatment of children,5
2019,Public violence,6
2019,Rape,60
2019,Robbery at non-residential premises,62
2019,Robbery at residential premises,83
2019,Robbery of cash in transit,1
2019,Robbery with aggravating circumstances,423
2019,Sexual Offences detected as a result of police action,8
2019,Sexual assault,4
2019,Shoplifting,233
2019,Stock-theft,7
2019,Street Robbery,225
2019,TRIO crimes,188
2019,Theft of motor vehicle and motorcycle,433
2019,Theft out of or from motor vehicle,253
2019,Truck hijacking,9
2018,Abduction,5
2018,Arson,11
2018,Assault with the intent to inflict grievous bodily harm,416
2018,Attempted murder,20
2018,Attempted sexual offences,3
2018,Bank robbery,0
2018,Burglary at non-residential premises,314
2018,Burglary at residential premises,944
2018,Carjacking,54
2018,Commercial crime,269
2018,Common assault,371
2018,Common robbery,176
2018,Contact sexual offences,6
2018,Crimen Injuria,19
2018,Culpable homicide,35
2018,Driving under the influence of alcohol or drugs,330
2018,Drug-related crime,592
2018,Illegal possession of firearms and ammunition,24
2018,Kidnapping,13
2018,Malicious damage to property,392
2018,Murder,26
2018,Neglect and ill-treatment of children,5
2018,Public violence,10
2018,Rape,69
2018,Robbery at non-residential premises,89
2018,Robbery at residential premises,105
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,460
2018,Sexual Offences detected as a result of police action,13
2018,Sexual assault,11
2018,Shoplifting,274
2018,Stock-theft,5
2018,Street Robbery,210
2018,TRIO crimes,247
2018,Theft of motor vehicle and motorcycle,548
2018,Theft out of or from motor vehicle,350
2018,Truck hijacking,2
2017,Abduction,6
2017,Arson,11
2017,Assault with the intent to inflict grievous bodily harm,449
2017,Attempted murder,25
2017,Attempted sexual offences,2
2017,Bank robbery,0
2017,Burglary at non-residential premises,371
2017,Burglary at residential premises,1103
2017,Carjacking,33
2017,Commercial crime,209
2017,Common assault,372
2017,Common robbery,138
2017,Contact sexual offences,9
2017,Crimen Injuria,36
2017,Culpable homicide,39
2017,Driving under the influence of alcohol or drugs,309
2017,Drug-related crime,550
2017,Illegal possession of firearms and ammunition,41
2017,Kidnapping,13
