year,category,value
2024,Abduction,0
2024,Arson,3
2024,Assault with the intent to inflict grievous bodily harm,333
2024,Attempted murder,53
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,47
2024,Burglary at residential premises,232
2024,Carjacking,110
2024,Commercial crime,104
2024,Common assault,267
2024,Common robbery,22
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,217
2024,Drug-related crime,408
2024,Illegal possession of firearms and ammunition,35
2024,Kidnapping,80
2024,Malicious damage to property,140
2024,Murder,85
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,59
2024,Robbery at non-residential premises,40
2024,Robbery at residential premises,62
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,312
2024,Sexual Offences detected as a result of police action,113
2024,Sexual assault,5
2024,Shoplifting,2
2024,Stock-theft,34
2024,Street Robbery,216
2024,TRIO crimes,212
2024,Theft of motor vehicle and motorcycle,86
2024,Theft out of or from motor vehicle,57
2024,Truck hijacking,4
2023,Abduction,0
2023,Arson,3
2023,Assault with the intent to inflict grievous bodily harm,217
2023,Attempted murder,22
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,55
2023,Burglary at residential premises,273
2023,Carjacking,79
2023,Commercial crime,98
2023,Common assault,207
2023,Common robbery,25
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,202
2023,Drug-related crime,370
2023,Illegal possession of firearms and ammunition,45
2023,Kidnapping,58
2023,Malicious damage to property,124
2023,Murder,105
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,71
2023,Robbery at non-residential premises,30
2023,Robbery at residential premises,64
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,286
2023,Sexual Offences detected as a result of police action,125
2023,Sexual assault,5
2023,Shoplifting,1
2023,Stock-theft,32
2023,Street Robbery,108
2023,TRIO crimes,173
2023,Theft of motor vehicle and motorcycle,61
2023,Theft out of or from motor vehicle,55
2023,Truck hijacking,5
2022,Abduction,0
2022,Arson,1
2022,Assault with the intent to inflict grievous bodily harm,180
2022,Attempted murder,21
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,55
2022,Burglary at residential premises,230
2022,Carjacking,82
2022,Commercial crime,74
2022,Common assault,160
2022,Common robbery,23
2022,Contact sexual offences,3
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,162
2022,Drug-related crime,394
2022,Illegal possession of firearms and ammunition,28
2022,Kidnapping,23
2022,Malicious damage to property,91
2022,Murder,72
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,56
2022,Robbery at non-residential premises,43
2022,Robbery at residential premises,29
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,235
2022,Sexual Offences detected as a result of police action,58
2022,Sexual assault,9
2022,Shoplifting,0
2022,Stock-theft,26
2022,Street Robbery,78
2022,TRIO crimes,154
2022,Theft of motor vehicle and motorcycle,43
2022,Theft out of or from motor vehicle,69
2022,Truck hijacking,3
2021,Abduction,0
2021,Arson,2
