year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,192
2024,Attempted murder,27
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,165
2024,Burglary at residential premises,288
2024,Carjacking,49
2024,Commercial crime,214
2024,Common assault,431
2024,Common robbery,99
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,144
2024,Drug-related crime,360
2024,Illegal possession of firearms and ammunition,30
2024,Kidnapping,59
2024,Malicious damage to property,189
2024,Murder,27
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,45
2024,Robbery at non-residential premises,82
2024,Robbery at residential premises,55
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,339
2024,Sexual Offences detected as a result of police action,3
2024,Sexual assault,11
2024,Shoplifting,184
2024,Stock-theft,34
2024,Street Robbery,197
2024,TRIO crimes,186
2024,Theft of motor vehicle and motorcycle,214
2024,Theft out of or from motor vehicle,158
2024,Truck hijacking,9
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,168
2023,Attempted murder,21
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,191
2023,Burglary at residential premises,355
2023,Carjacking,32
2023,Commercial crime,326
2023,Common assault,325
2023,Common robbery,73
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,96
2023,Drug-related crime,285
2023,Illegal possession of firearms and ammunition,22
2023,Kidnapping,30
2023,Malicious damage to property,146
2023,Murder,29
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,36
2023,Robbery at non-residential premises,63
2023,Robbery at residential premises,82
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,286
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,13
2023,Shoplifting,170
2023,Stock-theft,39
2023,Street Robbery,99
2023,TRIO crimes,177
2023,Theft of motor vehicle and motorcycle,190
