year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,266
2024,Attempted murder,78
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,97
2024,Burglary at residential premises,275
2024,Carjacking,36
2024,Commercial crime,266
2024,Common assault,309
2024,Common robbery,114
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,265
2024,Drug-related crime,313
2024,Illegal possession of firearms and ammunition,62
2024,Kidnapping,63
2024,Malicious damage to property,224
2024,Murder,81
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,60
2024,Robbery at non-residential premises,54
2024,Robbery at residential premises,118
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,369
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,13
2024,Shoplifting,109
2024,Stock-theft,15
2024,Street Robbery,214
2024,TRIO crimes,208
2024,Theft of motor vehicle and motorcycle,180
2024,Theft out of or from motor vehicle,100
2024,Truck hijacking,5
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,246
2023,Attempted murder,106
2023,Attempted sexual offences,1
2023,Bank robbery,0
2023,Burglary at non-residential premises,141
2023,Burglary at residential premises,371
2023,Carjacking,69
2023,Commercial crime,253
2023,Common assault,341
2023,Common robbery,92
2023,Contact sexual offences,2
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,210
2023,Drug-related crime,357
2023,Illegal possession of firearms and ammunition,22
2023,Kidnapping,62
2023,Malicious damage to property,238
2023,Murder,55
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,78
2023,Robbery at non-residential premises,54
2023,Robbery at residential premises,64
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,328
2023,Sexual Offences detected as a result of police action,6
2023,Sexual assault,17
2023,Shoplifting,112
2023,Stock-theft,20
2023,Street Robbery,132
2023,TRIO crimes,187
2023,Theft of motor vehicle and motorcycle,85
2023,Theft out of or from motor vehicle,123
