year,category,value
2024,Abduction,0
2024,Arson,5
2024,Assault with the intent to inflict grievous bodily harm,346
2024,Attempted murder,43
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,252
2024,Burglary at residential premises,601
2024,Carjacking,45
2024,Commercial crime,588
2024,Common assault,355
2024,Common robbery,145
2024,Contact sexual offences,4
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,440
2024,Drug-related crime,918
2024,Illegal possession of firearms and ammunition,45
2024,Kidnapping,24
2024,Malicious damage to property,319
2024,Murder,35
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,42
2024,Robbery at non-residential premises,65
2024,Robbery at residential premises,96
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,415
2024,Sexual Offences detected as a result of police action,261
2024,Sexual assault,9
2024,Shoplifting,233
2024,Stock-theft,7
2024,Street Robbery,211
2024,TRIO crimes,206
2024,Theft of motor vehicle and motorcycle,550
2024,Theft out of or from motor vehicle,243
2024,Truck hijacking,3
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,379
2023,Attempted murder,26
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,332
2023,Burglary at residential premises,648
2023,Carjacking,69
2023,Commercial crime,537
2023,Common assault,432
2023,Common robbery,140
2023,Contact sexual offences,3
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,333
2023,Drug-related crime,817
2023,Illegal possession of firearms and ammunition,32
2023,Kidnapping,41
2023,Malicious damage to property,377
2023,Murder,39
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,60
2023,Robbery at non-residential premises,48
2023,Robbery at residential premises,108
2023,Robbery of cash in transit,5
2023,Robbery with aggravating circumstances,409
2023,Sexual Offences detected as a result of police action,240
2023,Sexual assault,12
2023,Shoplifting,174
2023,Stock-theft,7
2023,Street Robbery,177
2023,TRIO crimes,225
2023,Theft of motor vehicle and motorcycle,563
2023,Theft out of or from motor vehicle,292
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,3
2022,Assault with the intent to inflict grievous bodily harm,355
2022,Attempted murder,41
2022,Attempted sexual offences,2
2022,Bank robbery,0
2022,Burglary at non-residential premises,201
2022,Burglary at residential premises,506
2022,Carjacking,90
2022,Commercial crime,406
2022,Common assault,376
2022,Common robbery,95
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,337
2022,Drug-related crime,592
2022,Illegal possession of firearms and ammunition,43
2022,Kidnapping,50
2022,Malicious damage to property,327
2022,Murder,40
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,55
2022,Robbery at non-residential premises,74
