year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,152
2024,Attempted murder,12
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,67
2024,Burglary at residential premises,98
2024,Carjacking,27
2024,Commercial crime,169
2024,Common assault,113
2024,Common robbery,20
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,71
2024,Drug-related crime,12
2024,Illegal possession of firearms and ammunition,16
2024,Kidnapping,15
2024,Malicious damage to property,113
2024,Murder,14
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,18
2024,Robbery at non-residential premises,33
2024,Robbery at residential premises,54
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,165
2024,Sexual Offences detected as a result of police action,8
2024,Sexual assault,5
2024,Shoplifting,37
2024,Stock-theft,5
2024,Street Robbery,124
2024,TRIO crimes,114
2024,Theft of motor vehicle and motorcycle,46
2024,Theft out of or from motor vehicle,46
2024,Truck hijacking,10
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,141
2023,Attempted murder,19
2023,Attempted sexual offences,1
2023,Bank robbery,1
2023,Burglary at non-residential premises,48
2023,Burglary at residential premises,103
2023,Carjacking,47
2023,Commercial crime,130
2023,Common assault,113
2023,Common robbery,16
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,92
2023,Drug-related crime,15
2023,Illegal possession of firearms and ammunition,12
2023,Kidnapping,18
2023,Malicious damage to property,101
2023,Murder,13
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,16
2023,Robbery at non-residential premises,26
2023,Robbery at residential premises,55
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,204
2023,Sexual Offences detected as a result of police action,14
2023,Sexual assault,3
2023,Shoplifting,26
2023,Stock-theft,11
2023,Street Robbery,61
2023,TRIO crimes,128
2023,Theft of motor vehicle and motorcycle,69
2023,Theft out of or from motor vehicle,61
