year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,344
2024,Attempted murder,29
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,43
2024,Burglary at residential premises,156
2024,Carjacking,37
2024,Commercial crime,55
2024,Common assault,369
2024,Common robbery,52
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,76
2024,Drug-related crime,39
2024,Illegal possession of firearms and ammunition,34
2024,Kidnapping,39
2024,Malicious damage to property,221
2024,Murder,30
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,39
2024,Robbery at non-residential premises,32
2024,Robbery at residential premises,51
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,229
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,11
2024,Shoplifting,72
2024,Stock-theft,10
2024,Street Robbery,121
2024,TRIO crimes,120
2024,Theft of motor vehicle and motorcycle,28
2024,Theft out of or from motor vehicle,46
2024,Truck hijacking,1
