year,category,value
2024,Abduction,0
2024,Arson,1
2024,Assault with the intent to inflict grievous bodily harm,398
2024,Attempted murder,25
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,167
2024,Burglary at residential premises,317
2024,Carjacking,51
2024,Commercial crime,251
2024,Common assault,597
2024,Common robbery,124
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,276
2024,Drug-related crime,384
2024,Illegal possession of firearms and ammunition,45
2024,Kidnapping,84
2024,Malicious damage to property,370
2024,Murder,24
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,54
2024,Robbery at non-residential premises,59
2024,Robbery at residential premises,82
2024,Robbery of cash in transit,2
2024,Robbery with aggravating circumstances,416
2024,Sexual Offences detected as a result of police action,23
2024,Sexual assault,16
2024,Shoplifting,199
2024,Stock-theft,35
2024,Street Robbery,208
2024,TRIO crimes,192
2024,Theft of motor vehicle and motorcycle,184
2024,Theft out of or from motor vehicle,201
2024,Truck hijacking,14
2023,Abduction,0
2023,Arson,6
2023,Assault with the intent to inflict grievous bodily harm,780
2023,Attempted murder,55
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,229
2023,Burglary at residential premises,551
2023,Carjacking,128
2023,Commercial crime,205
2023,Common assault,922
2023,Common robbery,200
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,336
2023,Drug-related crime,531
2023,Illegal possession of firearms and ammunition,76
2023,Kidnapping,124
2023,Malicious damage to property,639
2023,Murder,71
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,111
2023,Robbery at non-residential premises,74
2023,Robbery at residential premises,149
2023,Robbery of cash in transit,4
2023,Robbery with aggravating circumstances,653
2023,Sexual Offences detected as a result of police action,41
2023,Sexual assault,16
2023,Shoplifting,286
2023,Stock-theft,63
2023,Street Robbery,282
2023,TRIO crimes,351
2023,Theft of motor vehicle and motorcycle,261
2023,Theft out of or from motor vehicle,268
