year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,74
2024,Attempted murder,60
2024,Attempted sexual offences,2
2024,Bank robbery,0
2024,Burglary at non-residential premises,146
2024,Burglary at residential premises,207
2024,Carjacking,91
2024,Commercial crime,97
2024,Common assault,192
2024,Common robbery,49
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,186
2024,Drug-related crime,81
2024,Illegal possession of firearms and ammunition,47
2024,Kidnapping,105
2024,Malicious damage to property,179
2024,Murder,37
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,43
2024,Robbery at non-residential premises,40
2024,Robbery at residential premises,33
2024,Robbery of cash in transit,1
2024,Robbery with aggravating circumstances,292
2024,Sexual Offences detected as a result of police action,4
2024,Sexual assault,5
2024,Shoplifting,117
2024,Stock-theft,16
2024,Street Robbery,198
2024,TRIO crimes,164
2024,Theft of motor vehicle and motorcycle,53
2024,Theft out of or from motor vehicle,41
2024,Truck hijacking,33
2023,Abduction,0
2023,Arson,2
2023,Assault with the intent to inflict grievous bodily harm,82
2023,Attempted murder,54
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,147
2023,Burglary at residential premises,232
2023,Carjacking,116
2023,Commercial crime,106
2023,Common assault,172
2023,Common robbery,41
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,131
2023,Drug-related crime,105
2023,Illegal possession of firearms and ammunition,29
2023,Kidnapping,130
2023,Malicious damage to property,183
2023,Murder,58
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,55
2023,Robbery at non-residential premises,33
2023,Robbery at residential premises,49
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,318
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,2
2023,Shoplifting,94
2023,Stock-theft,18
2023,Street Robbery,81
2023,TRIO crimes,198
2023,Theft of motor vehicle and motorcycle,47
