year,category,value
2024,Abduction,0
2024,Arson,0
2024,Assault with the intent to inflict grievous bodily harm,206
2024,Attempted murder,48
2024,Attempted sexual offences,3
2024,Bank robbery,0
2024,Burglary at non-residential premises,44
2024,Burglary at residential premises,112
2024,Carjacking,1
2024,Commercial crime,31
2024,Common assault,156
2024,Common robbery,23
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,139
2024,Drug-related crime,38
2024,Illegal possession of firearms and ammunition,19
2024,Kidnapping,36
2024,Malicious damage to property,76
2024,Murder,30
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,62
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,16
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,70
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,4
2024,Shoplifting,3
2024,Stock-theft,121
2024,Street Robbery,41
2024,TRIO crimes,41
2024,Theft of motor vehicle and motorcycle,6
2024,Theft out of or from motor vehicle,23
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,146
2023,Attempted murder,32
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,56
2023,Burglary at residential premises,126
2023,Carjacking,2
2023,Commercial crime,33
2023,Common assault,177
2023,Common robbery,29
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,26
2023,Drug-related crime,31
2023,Illegal possession of firearms and ammunition,37
2023,Kidnapping,15
2023,Malicious damage to property,99
2023,Murder,28
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,65
2023,Robbery at non-residential premises,12
2023,Robbery at residential premises,14
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,52
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,3
2023,Shoplifting,1
2023,Stock-theft,130
2023,Street Robbery,24
2023,TRIO crimes,28
2023,Theft of motor vehicle and motorcycle,5
