year,category,value
2024,Abduction,0
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,587
2024,Attempted murder,58
2024,Attempted sexual offences,4
2024,Bank robbery,0
2024,Burglary at non-residential premises,58
2024,Burglary at residential premises,302
2024,Carjacking,13
2024,Commercial crime,148
2024,Common assault,450
2024,Common robbery,85
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,285
2024,Drug-related crime,331
2024,Illegal possession of firearms and ammunition,46
2024,Kidnapping,40
2024,Malicious damage to property,327
2024,Murder,89
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,120
2024,Robbery at non-residential premises,24
2024,Robbery at residential premises,47
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,256
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,17
2024,Shoplifting,60
2024,Stock-theft,91
2024,Street Robbery,84
2024,TRIO crimes,84
2024,Theft of motor vehicle and motorcycle,31
2024,Theft out of or from motor vehicle,73
2024,Truck hijacking,0
2023,Abduction,0
2023,Arson,5
2023,Assault with the intent to inflict grievous bodily harm,443
2023,Attempted murder,55
2023,Attempted sexual offences,4
2023,Bank robbery,0
2023,Burglary at non-residential premises,80
2023,Burglary at residential premises,339
2023,Carjacking,26
2023,Commercial crime,102
2023,Common assault,338
2023,Common robbery,60
2023,Contact sexual offences,4
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,58
2023,Drug-related crime,271
2023,Illegal possession of firearms and ammunition,45
2023,Kidnapping,33
2023,Malicious damage to property,228
2023,Murder,112
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,134
2023,Robbery at non-residential premises,34
2023,Robbery at residential premises,48
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,261
2023,Sexual Offences detected as a result of police action,0
2023,Sexual assault,14
2023,Shoplifting,49
2023,Stock-theft,92
2023,Street Robbery,153
2023,TRIO crimes,108
2023,Theft of motor vehicle and motorcycle,25
2023,Theft out of or from motor vehicle,49
2023,Truck hijacking,0
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,445
2022,Attempted murder,32
2022,Attempted sexual offences,3
2022,Bank robbery,0
2022,Burglary at non-residential premises,127
2022,Burglary at residential premises,422
2022,Carjacking,13
2022,Commercial crime,82
2022,Common assault,294
2022,Common robbery,57
2022,Contact sexual offences,2
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,182
2022,Drug-related crime,237
2022,Illegal possession of firearms and ammunition,19
2022,Kidnapping,15
2022,Malicious damage to property,215
2022,Murder,82
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,117
2022,Robbery at non-residential premises,27
2022,Robbery at residential premises,51
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,219
2022,Sexual Offences detected as a result of police action,0
2022,Sexual assault,15
2022,Shoplifting,36
2022,Stock-theft,120
2022,Street Robbery,128
2022,TRIO crimes,91
2022,Theft of motor vehicle and motorcycle,30
2022,Theft out of or from motor vehicle,41
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,357
2021,Attempted murder,52
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,88
2021,Burglary at residential premises,505
2021,Carjacking,15
2021,Commercial crime,90
2021,Common assault,278
2021,Common robbery,68
2021,Contact sexual offences,1
2021,Crimen Injuria,9
2021,Culpable homicide,16
2021,Driving under the influence of alcohol or drugs,106
2021,Drug-related crime,199
2021,Illegal possession of firearms and ammunition,52
2021,Kidnapping,14
2021,Malicious damage to property,173
2021,Murder,62
2021,Neglect and ill-treatment of children,2
2021,Public violence,3
2021,Rape,99
2021,Robbery at non-residential premises,28
2021,Robbery at residential premises,43
2021,Robbery of cash in transit,2
2021,Robbery with aggravating circumstances,240
2021,Sexual Offences detected as a result of police action,0
2021,Sexual assault,14
2021,Shoplifting,23
2021,Stock-theft,121
2021,Street Robbery,152
2021,TRIO crimes,86
2021,Theft of motor vehicle and motorcycle,43
2021,Theft out of or from motor vehicle,65
2021,Truck hijacking,0
2020,Abduction,0
2020,Arson,7
2020,Assault with the intent to inflict grievous bodily harm,411
2020,Attempted murder,36
2020,Attempted sexual offences,2
2020,Bank robbery,0
2020,Burglary at non-residential premises,237
2020,Burglary at residential premises,682
2020,Carjacking,18
2020,Commercial crime,49
2020,Common assault,353
2020,Common robbery,88
2020,Contact sexual offences,0
2020,Crimen Injuria,12
2020,Culpable homicide,23
2020,Driving under the influence of alcohol or drugs,169
2020,Drug-related crime,253
2020,Illegal possession of firearms and ammunition,52
2020,Kidnapping,33
2020,Malicious damage to property,155
2020,Murder,59
2020,Neglect and ill-treatment of children,8
2020,Public violence,2
2020,Rape,151
2020,Robbery at non-residential premises,17
2020,Robbery at residential premises,20
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,210
2020,Sexual Offences detected as a result of police action,0
2020,Sexual assault,21
2020,Shoplifting,31
2020,Stock-theft,131
2020,Street Robbery,155
2020,TRIO crimes,55
2020,Theft of motor vehicle and motorcycle,57
2020,Theft out of or from motor vehicle,72
2020,Truck hijacking,0
2019,Abduction,0
2019,Arson,2
2019,Assault with the intent to inflict grievous bodily harm,454
2019,Attempted murder,34
2019,Attempted sexual offences,2
2019,Bank robbery,0
2019,Burglary at non-residential premises,136
2019,Burglary at residential premises,679
2019,Carjacking,17
2019,Commercial crime,49
2019,Common assault,361
2019,Common robbery,92
2019,Contact sexual offences,0
2019,Crimen Injuria,23
2019,Culpable homicide,21
2019,Driving under the influence of alcohol or drugs,253
2019,Drug-related crime,297
2019,Illegal possession of firearms and ammunition,45
2019,Kidnapping,23
2019,Malicious damage to property,167
2019,Murder,57
2019,Neglect and ill-treatment of children,4
2019,Public violence,2
2019,Rape,136
2019,Robbery at non-residential premises,18
2019,Robbery at residential premises,28
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,254
2019,Sexual Offences detected as a result of police action,0
2019,Sexual assault,11
2019,Shoplifting,43
2019,Stock-theft,130
2019,Street Robbery,191
2019,TRIO crimes,63
2019,Theft of motor vehicle and motorcycle,51
2019,Theft out of or from motor vehicle,93
2019,Truck hijacking,0
2018,Abduction,0
2018,Arson,7
2018,Assault with the intent to inflict grievous bodily harm,499
2018,Attempted murder,30
2018,Attempted sexual offences,0
2018,Bank robbery,0
2018,Burglary at non-residential premises,112
2018,Burglary at residential premises,739
2018,Carjacking,15
2018,Commercial crime,37
2018,Common assault,373
2018,Common robbery,103
2018,Contact sexual offences,0
2018,Crimen Injuria,10
2018,Culpable homicide,18
2018,Driving under the influence of alcohol or drugs,251
2018,Drug-related crime,317
2018,Illegal possession of firearms and ammunition,34
2018,Kidnapping,23
2018,Malicious damage to property,194
2018,Murder,53
2018,Neglect and ill-treatment of children,8
2018,Public violence,1
2018,Rape,146
2018,Robbery at non-residential premises,19
2018,Robbery at residential premises,28
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,307
2018,Sexual Offences detected as a result of police action,0
2018,Sexual assault,16
2018,Shoplifting,35
2018,Stock-theft,99
2018,Street Robbery,245
2018,TRIO crimes,62
2018,Theft of motor vehicle and motorcycle,78
2018,Theft out of or from motor vehicle,101
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,10
2017,Assault with the intent to inflict grievous bodily harm,602
2017,Attempted murder,44
2017,Attempted sexual offences,0
2017,Bank robbery,0
2017,Burglary at non-residential premises,130
2017,Burglary at residential premises,781
