year,category,value
2024,Abduction,0
2024,Abduction,0
2024,Arson,8
2024,Arson,8
2024,Assault with the intent to inflict grievous bodily harm,166
2024,Assault with the intent to inflict grievous bodily harm,80
2024,Attempted murder,65
2024,Attempted murder,39
2024,Attempted sexual offences,3
2024,Attempted sexual offences,0
2024,Bank robbery,0
2024,Bank robbery,0
2024,Burglary at non-residential premises,53
2024,Burglary at non-residential premises,59
2024,Burglary at residential premises,339
2024,Burglary at residential premises,152
2024,Carjacking,68
2024,Carjacking,38
2024,Commercial crime,171
2024,Commercial crime,367
2024,Common assault,152
2024,Common assault,139
2024,Common robbery,60
2024,Common robbery,122
2024,Contact sexual offences,1
2024,Contact sexual offences,1
2024,Crimen Injuria,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,43
2024,Driving under the influence of alcohol or drugs,66
2024,Drug-related crime,44
2024,Drug-related crime,77
2024,Illegal possession of firearms and ammunition,21
2024,Illegal possession of firearms and ammunition,5
2024,Kidnapping,51
2024,Kidnapping,35
2024,Malicious damage to property,74
2024,Malicious damage to property,82
2024,Murder,70
2024,Murder,41
2024,Neglect and ill-treatment of children,0
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Public violence,0
2024,Rape,25
2024,Rape,27
2024,Robbery at non-residential premises,19
2024,Robbery at non-residential premises,27
2024,Robbery at residential premises,39
2024,Robbery at residential premises,40
2024,Robbery of cash in transit,2
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,197
2024,Robbery with aggravating circumstances,350
2024,Sexual Offences detected as a result of police action,0
2024,Sexual Offences detected as a result of police action,0
2024,Sexual assault,7
2024,Sexual assault,5
2024,Shoplifting,336
2024,Shoplifting,71
2024,Stock-theft,7
2024,Stock-theft,5
2024,Street Robbery,103
2024,Street Robbery,139
2024,TRIO crimes,96
2024,TRIO crimes,135
2024,Theft of motor vehicle and motorcycle,151
2024,Theft of motor vehicle and motorcycle,101
2024,Theft out of or from motor vehicle,118
2024,Theft out of or from motor vehicle,104
2024,Truck hijacking,2
2024,Truck hijacking,7
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,88
2023,Attempted murder,33
2023,Attempted sexual offences,2
2023,Bank robbery,0
2023,Burglary at non-residential premises,65
2023,Burglary at residential premises,373
2023,Carjacking,40
2023,Commercial crime,321
2023,Common assault,151
2023,Common robbery,53
2023,Contact sexual offences,0
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,35
2023,Drug-related crime,102
2023,Illegal possession of firearms and ammunition,9
2023,Kidnapping,30
2023,Malicious damage to property,132
2023,Murder,33
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,33
2023,Robbery at non-residential premises,35
2023,Robbery at residential premises,35
2023,Robbery of cash in transit,1
2023,Robbery with aggravating circumstances,211
2023,Sexual Offences detected as a result of police action,1
2023,Sexual assault,11
2023,Shoplifting,265
2023,Stock-theft,1
2023,Street Robbery,98
2023,TRIO crimes,110
2023,Theft of motor vehicle and motorcycle,166
2023,Theft out of or from motor vehicle,141
2023,Truck hijacking,2
2022,Abduction,0
2022,Arson,10
2022,Assault with the intent to inflict grievous bodily harm,78
2022,Attempted murder,32
2022,Attempted sexual offences,1
2022,Bank robbery,0
2022,Burglary at non-residential premises,208
2022,Burglary at residential premises,368
2022,Carjacking,17
2022,Commercial crime,339
2022,Common assault,140
2022,Common robbery,43
2022,Contact sexual offences,0
2022,Crimen Injuria,0
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,21
2022,Drug-related crime,51
2022,Illegal possession of firearms and ammunition,24
2022,Kidnapping,15
2022,Malicious damage to property,155
2022,Murder,30
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,26
2022,Robbery at non-residential premises,17
2022,Robbery at residential premises,23
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,145
2022,Sexual Offences detected as a result of police action,6
2022,Sexual assault,7
2022,Shoplifting,258
2022,Stock-theft,10
2022,Street Robbery,88
2022,TRIO crimes,57
2022,Theft of motor vehicle and motorcycle,195
2022,Theft out of or from motor vehicle,138
2022,Truck hijacking,0
2021,Abduction,0
2021,Arson,6
2021,Assault with the intent to inflict grievous bodily harm,75
2021,Attempted murder,17
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,115
2021,Burglary at residential premises,464
2021,Carjacking,26
2021,Commercial crime,275
2021,Common assault,129
2021,Common robbery,41
2021,Contact sexual offences,1
2021,Crimen Injuria,15
2021,Culpable homicide,15
2021,Driving under the influence of alcohol or drugs,24
2021,Drug-related crime,52
2021,Illegal possession of firearms and ammunition,13
2021,Kidnapping,8
2021,Malicious damage to property,112
2021,Murder,17
2021,Neglect and ill-treatment of children,3
2021,Public violence,0
2021,Rape,32
2021,Robbery at non-residential premises,22
2021,Robbery at residential premises,22
2021,Robbery of cash in transit,0
2021,Robbery with aggravating circumstances,156
2021,Sexual Offences detected as a result of police action,4
2021,Sexual assault,11
2021,Shoplifting,264
2021,Stock-theft,3
2021,Street Robbery,84
2021,TRIO crimes,70
2021,Theft of motor vehicle and motorcycle,185
2021,Theft out of or from motor vehicle,145
2021,Truck hijacking,2
2020,Abduction,0
2020,Arson,6
2020,Assault with the intent to inflict grievous bodily harm,82
2020,Attempted murder,24
2020,Attempted sexual offences,4
2020,Bank robbery,0
2020,Burglary at non-residential premises,102
2020,Burglary at residential premises,458
2020,Carjacking,46
2020,Commercial crime,272
2020,Common assault,121
2020,Common robbery,44
2020,Contact sexual offences,1
2020,Crimen Injuria,29
2020,Culpable homicide,21
2020,Driving under the influence of alcohol or drugs,391
2020,Drug-related crime,126
2020,Illegal possession of firearms and ammunition,13
2020,Kidnapping,7
2020,Malicious damage to property,125
2020,Murder,23
2020,Neglect and ill-treatment of children,4
2020,Public violence,2
2020,Rape,39
2020,Robbery at non-residential premises,24
2020,Robbery at residential premises,46
2020,Robbery of cash in transit,0
2020,Robbery with aggravating circumstances,206
2020,Sexual Offences detected as a result of police action,61
2020,Sexual assault,15
2020,Shoplifting,254
2020,Stock-theft,8
2020,Street Robbery,89
2020,TRIO crimes,116
2020,Theft of motor vehicle and motorcycle,220
2020,Theft out of or from motor vehicle,185
2020,Truck hijacking,1
2019,Abduction,0
2019,Arson,13
2019,Assault with the intent to inflict grievous bodily harm,91
2019,Attempted murder,21
2019,Attempted sexual offences,3
2019,Bank robbery,0
2019,Burglary at non-residential premises,116
2019,Burglary at residential premises,504
2019,Carjacking,42
2019,Commercial crime,336
2019,Common assault,124
2019,Common robbery,28
2019,Contact sexual offences,4
2019,Crimen Injuria,22
2019,Culpable homicide,24
2019,Driving under the influence of alcohol or drugs,330
2019,Drug-related crime,232
2019,Illegal possession of firearms and ammunition,24
2019,Kidnapping,3
2019,Malicious damage to property,115
2019,Murder,13
2019,Neglect and ill-treatment of children,2
2019,Public violence,1
2019,Rape,30
2019,Robbery at non-residential premises,10
2019,Robbery at residential premises,52
2019,Robbery of cash in transit,0
2019,Robbery with aggravating circumstances,206
2019,Sexual Offences detected as a result of police action,52
2019,Sexual assault,12
2019,Shoplifting,218
2019,Stock-theft,3
2019,Street Robbery,101
2019,TRIO crimes,104
2019,Theft of motor vehicle and motorcycle,259
2019,Theft out of or from motor vehicle,136
2019,Truck hijacking,1
2018,Abduction,0
2018,Arson,3
2018,Assault with the intent to inflict grievous bodily harm,92
2018,Attempted murder,23
2018,Attempted sexual offences,2
2018,Bank robbery,0
2018,Burglary at non-residential premises,102
2018,Burglary at residential premises,526
2018,Carjacking,32
2018,Commercial crime,257
2018,Common assault,134
2018,Common robbery,59
2018,Contact sexual offences,2
2018,Crimen Injuria,26
2018,Culpable homicide,27
2018,Driving under the influence of alcohol or drugs,245
2018,Drug-related crime,368
2018,Illegal possession of firearms and ammunition,25
2018,Kidnapping,4
2018,Malicious damage to property,145
2018,Murder,16
2018,Neglect and ill-treatment of children,5
2018,Public violence,1
2018,Rape,35
2018,Robbery at non-residential premises,20
2018,Robbery at residential premises,48
2018,Robbery of cash in transit,0
2018,Robbery with aggravating circumstances,182
2018,Sexual Offences detected as a result of police action,30
2018,Sexual assault,10
2018,Shoplifting,198
2018,Stock-theft,1
2018,Street Robbery,82
2018,TRIO crimes,100
2018,Theft of motor vehicle and motorcycle,238
2018,Theft out of or from motor vehicle,141
2018,Truck hijacking,0
2017,Abduction,0
2017,Arson,5
2017,Assault with the intent to inflict grievous bodily harm,82
2017,Attempted murder,18
2017,Attempted sexual offences,1
2017,Bank robbery,0
2017,Burglary at non-residential premises,95
2017,Burglary at residential premises,533
2017,Carjacking,42
2017,Commercial crime,260
2017,Common assault,117
2017,Common robbery,36
2017,Contact sexual offences,0
2017,Crimen Injuria,28
2017,Culpable homicide,36
2017,Driving under the influence of alcohol or drugs,165
2017,Drug-related crime,310
2017,Illegal possession of firearms and ammunition,19
2017,Kidnapping,6
2017,Malicious damage to property,126
2017,Murder,17
2017,Neglect and ill-treatment of children,1
2017,Public violence,0
2017,Rape,24
2017,Robbery at non-residential premises,21
2017,Robbery at residential premises,33
2017,Robbery of cash in transit,0
2017,Robbery with aggravating circumstances,186
2017,Sexual Offences detected as a result of police action,3
2017,Sexual assault,10
2017,Shoplifting,227
2017,Stock-theft,8
2017,Street Robbery,90
2017,TRIO crimes,96
2017,Theft of motor vehicle and motorcycle,215
2017,Theft out of or from motor vehicle,190
2017,Truck hijacking,0
2016,Arson,1
2016,Assault with the intent to inflict grievous bodily harm,82
2016,Attempted murder,20
2016,Attempted sexual offences,0
2016,Bank robbery,0
2016,Burglary at non-residential premises,81
2016,Burglary at residential premises,575
2016,Carjacking,37
2016,Commercial crime,196
2016,Common assault,125
2016,Common robbery,52
2016,Contact sexual offences,3
2016,Crimen Injuria,0
2016,Culpable homicide,0
2016,Driving under the influence of alcohol or drugs,164
2016,Drug-related crime,269
2016,Illegal possession of firearms and ammunition,16
2016,Kidnapping,4
2016,Malicious damage to property,145
2016,Murder,25
2016,Neglect and ill-treatment of children,0
2016,Public violence,0
2016,Rape,27
2016,Robbery at non-residential premises,16
2016,Robbery at residential premises,27
2016,Robbery of cash in transit,0
2016,Robbery with aggravating circumstances,169
2016,Sexual Offences detected as a result of police action,8
2016,Sexual assault,16
2016,Shoplifting,328
2016,Stock-theft,4
2016,Street Robbery,88
2016,TRIO crimes,80
2016,Theft of motor vehicle and motorcycle,212
2016,Theft out of or from motor vehicle,311
2016,Truck hijacking,1
2015,Arson,6
2015,Assault with the intent to inflict grievous bodily harm,68
2015,Attempted murder,18
2015,Attempted sexual offences,1
2015,Bank robbery,0
2015,Burglary at non-residential premises,68
2015,Burglary at residential premises,633
2015,Carjacking,33
2015,Commercial crime,196
2015,Common assault,95
2015,Common robbery,48
2015,Contact sexual offences,0
2015,Crimen Injuria,16
2015,Culpable homicide,23
2015,Driving under the influence of alcohol or drugs,143
2015,Drug-related crime,224
2015,Illegal possession of firearms and ammunition,6
2015,Kidnapping,11
2015,Malicious damage to property,125
2015,Murder,30
2015,Neglect and ill-treatment of children,2
2015,Public violence,0
2015,Rape,32
2015,Robbery at non-residential premises,13
2015,Robbery at residential premises,43
2015,Robbery of cash in transit,0
2015,Robbery with aggravating circumstances,179
2015,Sexual Offences detected as a result of police action,1
2015,Sexual assault,6
2015,Shoplifting,429
2015,Stock-theft,16
2015,Street Robbery,89
2015,TRIO crimes,89
2015,Theft of motor vehicle and motorcycle,275
2015,Theft out of or from motor vehicle,264
2015,Truck hijacking,1
2014,Arson,4
2014,Assault with the intent to inflict grievous bodily harm,83
2014,Attempted murder,24
2014,Attempted sexual offences,4
2014,Bank robbery,0
2014,Burglary at non-residential premises,97
2014,Burglary at residential premises,854
2014,Carjacking,43
2014,Commercial crime,269
2014,Common assault,136
2014,Common robbery,77
2014,Contact sexual offences,4
2014,Crimen Injuria,33
2014,Culpable homicide,25
2014,Driving under the influence of alcohol or drugs,309
2014,Drug-related crime,223
2014,Illegal possession of firearms and ammunition,20
2014,Kidnapping,4
2014,Malicious damage to property,165
2014,Murder,8
2014,Neglect and ill-treatment of children,7
