year,category,value
2024,Abduction,0
2024,Arson,2
2024,Assault with the intent to inflict grievous bodily harm,40
2024,Attempted murder,13
2024,Attempted sexual offences,1
2024,Bank robbery,0
2024,Burglary at non-residential premises,34
2024,Burglary at residential premises,127
2024,Carjacking,26
2024,Commercial crime,110
2024,Common assault,92
2024,Common robbery,34
2024,Contact sexual offences,0
2024,Crimen Injuria,0
2024,Culpable homicide,0
2024,Driving under the influence of alcohol or drugs,25
2024,Drug-related crime,154
2024,Illegal possession of firearms and ammunition,9
2024,Kidnapping,23
2024,Malicious damage to property,31
2024,Murder,11
2024,Neglect and ill-treatment of children,0
2024,Public violence,0
2024,Rape,17
2024,Robbery at non-residential premises,28
2024,Robbery at residential premises,37
2024,Robbery of cash in transit,0
2024,Robbery with aggravating circumstances,170
2024,Sexual Offences detected as a result of police action,55
2024,Sexual assault,5
2024,Shoplifting,21
2024,Stock-theft,0
2024,Street Robbery,97
2024,TRIO crimes,91
2024,Theft of motor vehicle and motorcycle,90
2024,Theft out of or from motor vehicle,108
2024,Truck hijacking,6
2023,Abduction,0
2023,Arson,1
2023,Assault with the intent to inflict grievous bodily harm,56
2023,Attempted murder,25
2023,Attempted sexual offences,0
2023,Bank robbery,0
2023,Burglary at non-residential premises,32
2023,Burglary at residential premises,147
2023,Carjacking,46
2023,Commercial crime,96
2023,Common assault,97
2023,Common robbery,29
2023,Contact sexual offences,1
2023,Crimen Injuria,0
2023,Culpable homicide,0
2023,Driving under the influence of alcohol or drugs,14
2023,Drug-related crime,146
2023,Illegal possession of firearms and ammunition,7
2023,Kidnapping,25
2023,Malicious damage to property,43
2023,Murder,7
2023,Neglect and ill-treatment of children,0
2023,Public violence,0
2023,Rape,7
2023,Robbery at non-residential premises,27
2023,Robbery at residential premises,51
2023,Robbery of cash in transit,0
2023,Robbery with aggravating circumstances,218
2023,Sexual Offences detected as a result of police action,51
2023,Sexual assault,2
2023,Shoplifting,13
2023,Stock-theft,1
2023,Street Robbery,90
2023,TRIO crimes,124
2023,Theft of motor vehicle and motorcycle,119
2023,Theft out of or from motor vehicle,91
2023,Truck hijacking,4
2022,Abduction,0
2022,Arson,4
2022,Assault with the intent to inflict grievous bodily harm,43
2022,Attempted murder,20
2022,Attempted sexual offences,0
2022,Bank robbery,0
2022,Burglary at non-residential premises,32
2022,Burglary at residential premises,186
2022,Carjacking,19
2022,Commercial crime,90
2022,Common assault,104
2022,Common robbery,33
2022,Contact sexual offences,0
2022,Crimen Injuria,-2
2022,Culpable homicide,0
2022,Driving under the influence of alcohol or drugs,7
2022,Drug-related crime,49
2022,Illegal possession of firearms and ammunition,3
2022,Kidnapping,17
2022,Malicious damage to property,48
2022,Murder,11
2022,Neglect and ill-treatment of children,0
2022,Public violence,0
2022,Rape,8
2022,Robbery at non-residential premises,24
2022,Robbery at residential premises,20
2022,Robbery of cash in transit,0
2022,Robbery with aggravating circumstances,151
2022,Sexual Offences detected as a result of police action,42
2022,Sexual assault,6
2022,Shoplifting,38
2022,Stock-theft,0
2022,Street Robbery,86
2022,TRIO crimes,63
2022,Theft of motor vehicle and motorcycle,167
2022,Theft out of or from motor vehicle,122
2022,Truck hijacking,2
2021,Abduction,0
2021,Arson,2
2021,Assault with the intent to inflict grievous bodily harm,17
2021,Attempted murder,18
2021,Attempted sexual offences,0
2021,Bank robbery,0
2021,Burglary at non-residential premises,38
2021,Burglary at residential premises,151
2021,Carjacking,15
2021,Commercial crime,99
2021,Common assault,77
2021,Common robbery,28
2021,Contact sexual offences,0
2021,Crimen Injuria,8
2021,Culpable homicide,12
2021,Driving under the influence of alcohol or drugs,8
2021,Drug-related crime,46
2021,Illegal possession of firearms and ammunition,3
2021,Kidnapping,12
2021,Malicious damage to property,37
2021,Murder,3
2021,Neglect and ill-treatment of children,0
2021,Public violence,0
2021,Rape,12
2021,Robbery at non-residential premises,26
